iso.country,groupname,iso.group
4,Central Asia and Southern Asia,
8,Northern America and Europe,
12,Western Asia and Northern Africa,
16,Oceania,
20,Northern America and Europe,
24,Sub-Saharan Africa,
28,Latin America and the Caribbean,
31,Western Asia and Northern Africa,
32,Latin America and the Caribbean,
36,Oceania,
40,Northern America and Europe,
44,Latin America and the Caribbean,
48,Western Asia and Northern Africa,
50,Central Asia and Southern Asia,
51,Western Asia and Northern Africa,
52,Latin America and the Caribbean,
56,Northern America and Europe,
60,Northern America and Europe,
64,Central Asia and Southern Asia,
68,Latin America and the Caribbean,
70,Northern America and Europe,
72,Sub-Saharan Africa,
76,Latin America and the Caribbean,
84,Latin America and the Caribbean,
86,Sub-Saharan Africa,
90,Oceania,
92,Latin America and the Caribbean,
96,Eastern Asia and South-eastern Asia,
100,Northern America and Europe,
104,Eastern Asia and South-eastern Asia,
108,Sub-Saharan Africa,
112,Northern America and Europe,
116,Eastern Asia and South-eastern Asia,
120,Sub-Saharan Africa,
124,Northern America and Europe,
132,Sub-Saharan Africa,
136,Latin America and the Caribbean,
140,Sub-Saharan Africa,
144,Central Asia and Southern Asia,
148,Sub-Saharan Africa,
152,Latin America and the Caribbean,
156,Eastern Asia and South-eastern Asia,
162,Oceania,
166,Oceania,
170,Latin America and the Caribbean,
174,Sub-Saharan Africa,
175,Sub-Saharan Africa,
178,Sub-Saharan Africa,
180,Sub-Saharan Africa,
184,Oceania,
188,Latin America and the Caribbean,
191,Northern America and Europe,
192,Latin America and the Caribbean,
196,Western Asia and Northern Africa,
203,Northern America and Europe,
204,Sub-Saharan Africa,
208,Northern America and Europe,
212,Latin America and the Caribbean,
214,Latin America and the Caribbean,
218,Latin America and the Caribbean,
222,Latin America and the Caribbean,
226,Sub-Saharan Africa,
231,Sub-Saharan Africa,
232,Sub-Saharan Africa,
233,Northern America and Europe,
234,Northern America and Europe,
238,Latin America and the Caribbean,
239,Latin America and the Caribbean,
242,Oceania,
246,Northern America and Europe,
248,Northern America and Europe,
250,Northern America and Europe,
254,Latin America and the Caribbean,
258,Oceania,
260,Sub-Saharan Africa,
262,Sub-Saharan Africa,
266,Sub-Saharan Africa,
268,Western Asia and Northern Africa,
270,Sub-Saharan Africa,
275,Western Asia and Northern Africa,
276,Northern America and Europe,
288,Sub-Saharan Africa,
292,Northern America and Europe,
296,Oceania,
300,Northern America and Europe,
304,Northern America and Europe,
308,Latin America and the Caribbean,
312,Latin America and the Caribbean,
316,Oceania,
320,Latin America and the Caribbean,
324,Sub-Saharan Africa,
328,Latin America and the Caribbean,
332,Latin America and the Caribbean,
334,Oceania,
336,Northern America and Europe,
340,Latin America and the Caribbean,
344,Eastern Asia and South-eastern Asia,
348,Northern America and Europe,
352,Northern America and Europe,
356,Central Asia and Southern Asia,
360,Eastern Asia and South-eastern Asia,
364,Central Asia and Southern Asia,
368,Western Asia and Northern Africa,
372,Northern America and Europe,
376,Western Asia and Northern Africa,
380,Northern America and Europe,
384,Sub-Saharan Africa,
388,Latin America and the Caribbean,
392,Eastern Asia and South-eastern Asia,
398,Central Asia and Southern Asia,
400,Western Asia and Northern Africa,
404,Sub-Saharan Africa,
408,Eastern Asia and South-eastern Asia,
410,Eastern Asia and South-eastern Asia,
414,Western Asia and Northern Africa,
417,Central Asia and Southern Asia,
418,Eastern Asia and South-eastern Asia,
422,Western Asia and Northern Africa,
426,Sub-Saharan Africa,
428,Northern America and Europe,
