iso.country,Name,Ref_Area_Type,RC_Region,RC_UNSDCode,groupname,RC_Name,iso.group
28,Antigua and Barbuda,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
32,Argentina,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
44,Bahamas,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
52,Barbados,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
68,Bolivia (Plurinational State of),3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
76,Brazil,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
84,Belize,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
660,Anguilla,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
533,Aruba,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
152,Chile,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
170,Colombia,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
535,"Bonaire, Sint Eustatius and Saba",3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
188,Costa Rica,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
192,Cuba,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
212,Dominica,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
214,Dominican Republic,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
218,Ecuador,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
222,El Salvador,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
92,British Virgin Islands,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
136,Cayman Islands,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
531,Curaçao,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
308,Grenada,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
320,Guatemala,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
328,Guyana,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
332,Haiti,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
254,French Guiana,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
340,Honduras,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
388,Jamaica,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
312,Guadeloupe,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
484,Mexico,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
558,Nicaragua,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
474,Martinique,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
500,Montserrat,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
591,Panama,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
600,Paraguay,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
604,Peru,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
659,Saint Kitts and Nevis,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
662,Saint Lucia,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
630,Puerto Rico,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
670,Saint Vincent and the Grenadines,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
740,Suriname,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
780,Trinidad and Tobago,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
534,Sint Maarten (Dutch part),3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
858,Uruguay,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
862,Venezuela (Bolivarian Republic of),3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
796,Turks and Caicos Islands,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
850,United States Virgin Islands,3.0-Country,ECLAC_ALL,98300,ECLAC: All countries,ECLAC,
32,Argentina,3.0-Country,ECLAC-Caribbean,98301,ECLAC: Carribean,ECLAC,
68,Bolivia (Plurinational State of),3.0-Country,ECLAC-Caribbean,98301,ECLAC: Carribean,ECLAC,
76,Brazil,3.0-Country,ECLAC-Caribbean,98301,ECLAC: Carribean,ECLAC,
152,Chile,3.0-Country,ECLAC-Caribbean,98301,ECLAC: Carribean,ECLAC,
170,Colombia,3.0-Country,ECLAC-Caribbean,98301,ECLAC: Carribean,ECLAC,
188,Costa Rica,3.0-Country,ECLAC-Caribbean,98301,ECLAC: Carribean,ECLAC,
192,Cuba,3.0-Country,ECLAC-Caribbean,98301,ECLAC: Carribean,ECLAC,
214,Dominican Republic,3.0-Country,ECLAC-Caribbean,98301,ECLAC: Carribean,ECLAC,
218,Ecuador,3.0-Country,ECLAC-Caribbean,98301,ECLAC: Carribean,ECLAC,
222,El Salvador,3.0-Country,ECLAC-Caribbean,98301,ECLAC: Carribean,ECLAC,
320,Guatemala,3.0-Country,ECLAC-Caribbean,98301,ECLAC: Carribean,ECLAC,
332,Haiti,3.0-Country,ECLAC-Caribbean,98301,ECLAC: Carribean,ECLAC,
340,Honduras,3.0-Country,ECLAC-Caribbean,98301,ECLAC: Carribean,ECLAC,
484,Mexico,3.0-Country,ECLAC-Caribbean,98301,ECLAC: Carribean,ECLAC,
558,Nicaragua,3.0-Country,ECLAC-Caribbean,98301,ECLAC: Carribean,ECLAC,
591,Panama,3.0-Country,ECLAC-Caribbean,98301,ECLAC: Carribean,ECLAC,
600,Paraguay,3.0-Country,ECLAC-Caribbean,98301,ECLAC: Carribean,ECLAC,
604,Peru,3.0-Country,ECLAC-Caribbean,98301,ECLAC: Carribean,ECLAC,
858,Uruguay,3.0-Country,ECLAC-Caribbean,98301,ECLAC: Carribean,ECLAC,
862,Venezuela (Bolivarian Republic of),3.0-Country,ECLAC-Caribbean,98301,ECLAC: Carribean,ECLAC,
28,Antigua and Barbuda,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
44,Bahamas,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
52,Barbados,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
84,Belize,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
660,Anguilla,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
533,Aruba,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
535,"Bonaire, Sint Eustatius and Saba",3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
212,Dominica,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
92,British Virgin Islands,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
136,Cayman Islands,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
531,Curaçao,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
308,Grenada,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
328,Guyana,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
254,French Guiana,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
388,Jamaica,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
312,Guadeloupe,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
474,Martinique,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
500,Montserrat,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
659,Saint Kitts and Nevis,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
662,Saint Lucia,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
630,Puerto Rico,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
670,Saint Vincent and the Grenadines,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
740,Suriname,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
780,Trinidad and Tobago,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
534,Sint Maarten (Dutch part),3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
796,Turks and Caicos Islands,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
850,United States Virgin Islands,3.0-Country,ECLAC-LA,98302,ECLAC: Latin America,ECLAC,
