"Country letter code","In union","ISO code","Country","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"",TRUE,4,"Afghanistan",149402.216,152763.218,156008.296,159516.982,163831.1475,168067.4538,172110.5123,175776.1622,179687.3181,183157.8761,181392.1628,169276.2528,144214.0249,140152.2023,141183.3882,148728.3618,148992.4982,146563.9151,144622.6895,148206.7552,154360.0835,151953.7283,159884.3935,194312.045,219620.4298,235816.0275,239053.308,242501.2551,245844.829,250790.0416,258971.8108,257289.4866,265136.5838,293514.6815,310664.2939,320189.6833,337574.115,352789.7157,352257.8309,370364.9433,384843.024,396445.924,417885.6692,435326.7942,452549.4216,473808.308,486910.8668,503373.4548,520696.353,538365.0453,557070.6877,578404.1572,594044.7906,611930.0899,629745.864,647611.3058,665321.8821,682763.6198,699970.0513,718196.9927,738048.041
"",TRUE,8,"Albania",38877.0457,39894.9799,40933.9307,42088.0159,43281.393,44591.732,45855.469,47086.3104,48248.6195,49402.7047,50607.047,51990.4872,53639.833,55630.927,57838.5832,60270.1119,62480.5094,64188.3362,65142.3068,65329.6287,64553.7389,63591.5257,62863.2899,62790.1721,63554.7984,65202.7342,67700.9773,70089.3868,71989.8284,73783.2388,75534.4781,77327.5736,79934.2089,83328.7069,86695.5103,89914.091,92077.7795,93354.7147,93682.93,93893.4128,93255.7136,92272.2168,91510.7072,91240.928,90473.003,90004.836,89859.9624,89067.3504,86840.905,84935.5449,82264.3372,80182.6969,78014.5314,76881.6468,75064.7899,73961.7704,72579.2174,71777.4843,71010.1592,71711.558,72778.3746
"",TRUE,12,"Algeria",165379.984,169920.0384,175289.1328,181444.8512,188204.4192,195097.4048,209254.3232,223063.4304,230653.404,238438.7516,246105.2199,253400.0842,260126.6994,266168.7012,271636.9573,276789.7724,281882.4971,286976.1833,291221.314,296285.0292,302708.1604,311140.4511,322234.6039,336438.5453,353558.8264,373461.1782,396022.7797,415786.6186,437158.9021,463316.3243,488687.2966,512869.044,535846.6447,557475.3861,577843.0321,597725.4527,616975.5885,639013.8686,664026.8996,688153.8502,715581.0734,744924.0623,774803.9776,803797.8072,831075.5242,856534.378,880581.824,903579.6498,926015.184,948222.2189,970385.525,993518.8105,1017786.7849,1044895.941,1075585.7024,1109475.2447,1145534.3483,1182733.3104,1217911.7822,1248872.3917,1274422.5082
"",TRUE,16,"American Samoa",378.7884,401.5332,433.9008,465.3936,492.5124,509.2286,507.5768,501.5736,491.2393,480.0662,468.9253,465.6054,476.9832,502.1278,538.3906,571.0981,593.3962,612.1925,633.4955,641.0531,669.0656,690.4992,720.0571,752.5575,797.1009,848.4903,886.0204,936.0989,974.9192,1014.7909,1046.0569,1065.6825,1078.6345,1096.8384,1113.151,1143.135,1175.7132,1208.5252,1239.2719,1257.3986,1260.1473,1260.4338,1242.4489,1222.7839,1201.5017,1169.9814,1135.6283,1094.2182,1050.8413,1016.0997,982.8183,950.9591,940.6605,930.8612,916.0327,892.0852,865.9465,825.2552,783.0542,738.6061,703.4842
"",TRUE,24,"Angola",75092.0348,77536.9835,81184.2442,85938.8103,91177.6595,96553.9151,102073.5306,107565.3308,113122.0917,118704.5246,124375.8222,129898.2234,135220.3822,140243.1068,144381.779,147368.6998,149297.5202,150082.0371,149896.2773,149493.8346,149191.7685,149208.2188,149460.1633,149771.7755,149502.8499,148564.3622,149929.5192,151792.1372,154692.5238,159139.9623,165390.0706,170576.9154,179627.6191,189184.3186,199320.2176,209941.567,220907.5411,232326.7205,244022.7133,255804.1087,267747.0446,279943.6309,292201.9708,304686.8727,317252.5539,329781.1321,341875.116,353661.6354,365694.2061,378558.3881,392594.7364,407682.8271,424572.8231,442350.4128,461328.655,481214.1923,502125.6666,524088.2314,547102.9155,571181.5461,596515.6071
"",TRUE,28,"Antigua and Barbuda",766.6296,769.5305,769.7522,772.1138,773.9384,777.3652,779.1856,782.6069,781.2193,776.6299,768.3092,756.2618,741.0252,724.2022,705.7948,670.3635,642.4124,623.5283,615.8273,625.6747,650.3921,691.0235,735.3377,783.3302,834.9965,881.3173,919.6488,974.9033,1027.9935,1074.6868,1131.3958,1179.5942,1204.3388,1246.2964,1311.4762,1379.8257,1441.6861,1489.8275,1537.8273,1571.6885,1599.4772,1637.3111,1674.081,1693.8217,1705.9172,1712.556,1705.5002,1700.6472,1672.2534,1627.9889,1591.6878,1563.178,1549.4705,1547.4664,1556.8112,1561.3317,1561.758,1555.0521,1584.4464,1620.8103,1664.3864
"",TRUE,31,"Azerbaijan",77259.71,83290.9965,89758.0841,96359.144,102733.2929,108654.0011,114277.1694,120714.2438,124598.6628,124306.4562,124906.4625,129541.1139,138070.938,147217.2754,155202.7513,159644.4408,157514.2283,148310.0181,132259.8679,111957.5276,91643.6495,78407.0469,73960.1394,79430.2518,91970.6438,106074.9553,119254.7227,129842.8749,137619.8068,144679.5349,155235.565,168071.232,183098.0134,200613.5436,220214.7246,238745.9929,255272.5494,268112.1836,276898.1538,281740.9921,285687.1043,287083.6916,286889.1178,285944.8871,284637.464,282936.5977,280635.1688,277339.6366,272852.2548,267826.0502,263308.7547,259871.6836,259119.9375,261595.0273,266834.6406,274369.5516,283695.8782,294149.9542,305078.2748,316248.4296,327525.8914
"",TRUE,32,"Argentina",544565.616,554615.3942,564834.3807,574817.4715,583278.4671,588684.9303,591720.4792,591201.6973,588245.7461,584395.4158,582209.6825,581549.9901,582813.2945,585589.3833,590011.2377,595741.6703,603017.8973,612326.7427,623722.0822,636909.779,651344.6485,666754.4626,682311.7316,697731.2764,711329.2077,721262.2682,730383.0834,738699.4855,745780.0632,753245.5224,762096.2595,769534.016,773481.7122,778518.1318,779956.7687,780615.6974,780249.5776,779303.7948,778914.1881,781446.1682,784059.812,786816.2213,789602.5784,790832.7222,792376.3968,797093.0373,805467.0342,818099.1478,833763.6493,853213.1612,874696.8785,894376.9226,913771.2716,933044.4869,950278.9766,964249.8748,976179.3599,984000.6527,988518.3625,991051.4676,992863.284
"",TRUE,36,"Australia",302488.7123,310782.4433,315185.2283,315115.6894,315160.162,314436.4719,312305.8312,307810.8667,302273.6268,297299.9756,293637.0526,290984.8699,292390.2033,298715.8207,307253.7466,317170.3224,326535.4382,334304.9103,343154.6281,355117.5833,370579.1799,387182.4688,408620.3536,433626.3699,453298.7137,467472.8023,481572.1124,488714.0691,491276.9382,497079.988,501976.7135,505961.1807,510548.5385,516606.5627,524094.4712,531822.338,539482.3076,550082.0613,560323.4914,567672.7797,570101.2696,567166.3357,562922.2787,560988.4615,562843.9021,569552.8936,582845.727,599310.8826,610773.71,614621.5331,614442.1831,606505.3653,595323.3811,588142.5285,586572.6606,591169.9351,602183.4077,618325.4558,638590.4204,660698.0277,681942.9922
"",TRUE,40,"Austria",216930.9405,215170.1512,208661.2145,199853.1356,191346.9345,182721.1397,175947.3042,170876.5491,167661.3655,162992.2049,158360.3142,152781.892,148907.0262,145051.2385,145874.5451,161181.9856,178805.531,193220.7499,201290.1448,206368.0917,198991.7424,181267.9524,172561.7613,176531.7957,179112.7809,179502.3242,187707.0683,189616.5938,186450.53,184333.2433,184911.7972,187884.9973,195467.4598,201395.2958,208241.8833,215991.9727,223447.6724,229323.4637,236170.8642,243684.0451,249518.8218,253321.639,255312.8478,255958.4286,255696.3898,254555.1962,251518.3906,247544.5061,242277.1185,234614.9667,227767.2846,222032.027,215620.4068,210324.1377,207436.2734,205278.7243,206534.9769,211111.2585,216321.4938,220181.6039,223733.5996
