"In union","ISO code","Country","MW_1549_1970","MW_1549_1971","MW_1549_1972","MW_1549_1973","MW_1549_1974","MW_1549_1975","MW_1549_1976","MW_1549_1977","MW_1549_1978","MW_1549_1979","MW_1549_1980","MW_1549_1981","MW_1549_1982","MW_1549_1983","MW_1549_1984","MW_1549_1985","MW_1549_1986","MW_1549_1987","MW_1549_1988","MW_1549_1989","MW_1549_1990","MW_1549_1991","MW_1549_1992","MW_1549_1993","MW_1549_1994","MW_1549_1995","MW_1549_1996","MW_1549_1997","MW_1549_1998","MW_1549_1999","MW_1549_2000","MW_1549_2001","MW_1549_2002","MW_1549_2003","MW_1549_2004","MW_1549_2005","MW_1549_2006","MW_1549_2007","MW_1549_2008","MW_1549_2009","MW_1549_2010","MW_1549_2011","MW_1549_2012","MW_1549_2013","MW_1549_2014","MW_1549_2015","MW_1549_2016","MW_1549_2017","MW_1549_2018","MW_1549_2019","MW_1549_2020","MW_1549_2021","MW_1549_2022","MW_1549_2023","MW_1549_2024","MW_1549_2025","MW_1549_2026","MW_1549_2027","MW_1549_2028","MW_1549_2029","MW_1549_2030"
1,44,"Bahamas",21820.0223,22348.5789,22777.7252,23150.0613,23527.295,23952.1436,24433.6055,24939.0423,25466.1097,26001.876,26553.6664,27102.9296,27606.2931,28165.635,28774.314,29399.0442,30020.0031,30654.4093,31317.4041,31968.3151,32564.4722,33094.7324,33663.8537,34188.4877,34666.8731,35117.0156,35632.4611,36086.0939,36451.9366,36699.1388,36907.9117,37551.3883,38099.5466,38607.2548,39042.3639,39419.0732,39808.8296,40187.7615,40493.8326,40754.2037,40917.0015,41240.712,41486.1412,41635.4766,41831.4563,42037.1106,42321.0281,42663.5854,43010.3892,43459.9861,43860.1279,44018.1212,44294.2058,44720.2001,45228.5658,45796.291,46434.2992,47108.3015,47821.8065,48626.5283,49444.0626
1,48,"Bahrain",29604.4259,30310.9911,31293.5885,32586.3083,34016.9088,35573.9887,37243.2691,39010.9261,40870.2079,42824.5048,44833.21,46860.6106,48643.5589,50432.6159,52356.0855,54433.5036,56628.6067,58935.4569,61280.9145,63660.0009,66086.9578,68548.0838,70361.0589,72289.3356,74390.0788,76682.5197,79151.3343,81810.6096,84632.9265,87609.0109,90710.4851,93935.0295,96992.0869,99961.5111,104563.4127,111167.6368,118061.5842,125184.0034,132388.1092,139526.3577,146449.5126,142332.9061,137793.8192,138093.5909,141578.5464,144987.751,145640.3908,146839.9412,148464.4767,149029.6334,146095.5226,140594.391,139342.1681,139126.0771,139240.0688,139594.8599,139978.5092,140358.8266,140882.4462,141733.0265,142863.9526
1,50,"Bangladesh",12101195.6903,12326849.0917,12489989.7217,12743503.1536,13022399.5477,13253285.6462,13587242.9284,13913779.0861,14260064.0849,14598625.99,14936834.1123,15287827.8687,15670058.0864,16071138.4083,16498498.0288,16928708.2076,17363624.0833,17796482.7512,18254128.9659,18719507.1889,19191072.8435,19684763.5472,20155399.1475,20687844.6596,21228253.1313,21794878.038,22351729.7229,22919075.8328,23528077.2899,24162219.3292,24810906.5236,25441599.7186,26180589.9264,26898134.305,27575220.5385,28245872.6226,28861020.8244,29354080.4817,29883450.96,30292706.7591,30864105.5897,31498438.392,32149670.0114,32838438.9927,33543633.7071,34256964.5053,34948719.8817,35672221.1992,36352902.3953,36975550.6873,37553259.6995,38144301.1622,38641790.6667,39046707.4787,39407195.9693,39714044.491,39954785.7354,40128195.3974,40242658.4661,40297751.8058,40279898.5329
1,51,"Armenia",403699.525,415030.3423,426998.6051,439933.3472,453061.3408,465955.6595,479194.7428,492818.2394,506769.1545,521695.3168,533503.1038,542777.8184,552240.6166,561119.909,570300.2364,577952.257,583256.3131,585865.5839,586713.0872,585547.8607,619489.9986,629101.9211,640783.9214,614663.9548,603625.7112,594490.5604,596000.1638,594504.352,591041.4827,587325.3691,582421.704,575816.2454,569314.3335,563598.6917,559672.8172,555510.5166,551401.9262,545975.5121,539608.57,532390.0826,525042.2004,518133.9625,511373.218,505247.3484,498663.2199,492741.7818,487950.642,483657.9341,479970.8986,475550.8817,471195.1552,468299.3069,465106.4599,462686.7282,460008.2662,457484.2141,453796.9038,449273.368,445439.6633,440504.7704,435871.1373
1,52,"Barbados",26125.615,26108.8227,26336.8469,26692.7976,27136.2229,27601.5724,28199.7254,28860.9602,29580.4614,30343.2563,31150.6392,32145.0086,33158.3282,34166.8706,35152.7334,36098.8759,36997.6179,37807.7854,38503.115,39106.7055,39632.2235,40273.8733,40983.9566,41614.7849,42121.4133,42539.3815,42891.4728,43178.8638,43380.7283,43419.0758,43315.2739,43182.4844,43212.5699,43180.4511,43094.1169,42905.3523,42637.9434,42361.8518,42124.8066,41925.8701,41612.0709,41242.9101,40875.157,40523.0669,40144.6443,39758.7235,39419.8516,39127.6818,38850.4113,38612.3197,38375.4758,38121.4758,37842.8222,37525.4562,37262.7693,37029.093,36821.7605,36660.6614,36482.3934,36338.9665,36179.6474
1,56,"Belgium",1630534.6225,1624425.8106,1620541.079,1619063.4102,1617481.7943,1616630.3552,1615854.7752,1616582.4853,1619553.3372,1622725.3699,1626711.6973,1627805.3669,1630325.0441,1633635.8981,1640753.7797,1649505.0216,1658569.5057,1667616.0995,1675198.6793,1680949.9918,1688445.242,1699794.7655,1715101.5016,1725998.6048,1730339.921,1732517.9588,1734227.0714,1728387.367,1722584.1125,1715746.4712,1710150.4888,1704757.7722,1678986.67,1652129.2317,1624840.482,1596811.1757,1568601.8947,1541072.8922,1513186.1607,1484583.1405,1455028.067,1426756.4197,1390745.7046,1356025.384,1320701.6524,1285407.6591,1253598.7863,1225029.0303,1199156.2841,1174340.3332,1150263.0572,1127441.8645,1106721.0546,1085571.8127,1068340.5377,1054757.3672,1045048.8916,1037183.5641,1030575.5603,1025518.0011,1022103.7638
1,60,"Bermuda",7665.8569,7866.2372,7955.6059,8046.3659,8152.0149,8267.5752,8399.7483,8542.7829,8696.0678,8853.0824,8996.7931,9064.0666,9134.3671,9211.2627,9289.4002,9386.3331,9493.9079,9599.0845,9694.2045,9780.9469,9872.184,9958.428,10004.1577,10010.9929,9991.427,9974.3239,9953.6502,9933.4932,9882.8518,9800.7344,9730.9558,9648.4818,9539.2432,9414.6555,9286.4344,9136.0842,8981.3765,8820.8734,8651.4525,8464.1074,8271.5607,8064.8478,7839.7674,7645.995,7445.6199,7255.4222,7087.6366,6946.7033,6829.2845,6724.7312,6612.1507,6473.4875,6355.9032,6227.1094,6117.839,6027.4058,5925.3654,5827.3709,5744.787,5676.0118,5596.283
1,64,"Bhutan",45158.664,46477.6931,47834.7242,49228.1878,50621.6019,52060.6192,53500.117,54985.7266,56524.7287,58104.4121,59702.4967,61309.9376,62945.2918,64605.6257,66330.1368,68107.6104,69944.7384,71849.5052,73815.5892,75843.3741,77960.3043,79810.144,80624.2498,73864.8734,73883.6535,74491.9958,76363.3344,78254.1274,80251.2267,82854.9569,85242.8874,87896.8073,90663.637,93590.0596,96693.1562,99991.2892,102178.1967,104156.9883,106159.4863,108205.9012,110268.0792,112245.5726,114148.5068,115988.3144,117796.8741,119543.7402,121126.7466,122505.6283,124783.5269,127047.6458,129316.9859,131567.7459,133766.2521,135886.7953,137943.7959,139894.907,141613.8169,143040.7615,144138.2538,144941.8038,145511.5909
1,68,"Bolivia (Plurinational State of)",648345.2235,663464.4079,679054.8916,695032.7328,711211.284,727486.8488,744101.3657,759861.1035,775756.9736,792071.4087,808663.0365,825476.2773,842442.9156,859767.2705,877654.0704,895887.9605,914473.2325,933507.3666,953122.5997,973346.1939,993816.5554,1014455.1973,1035403.2713,1056430.2418,1071528.6672,1087074.9003,1103376.5505,1120902.4359,1139965.5532,1161341.136,1184704.8963,1209084.8251,1239240.0432,1270325.7483,1302244.4455,1334897.7471,1368423.7175,1402740.4352,1437625.169,1466823.9119,1496471.6977,1526543.9672,1556964.855,1587409.082,1617923.9867,1648304.8722,1678516.318,1708481.5175,1737864.095,1766817.9392,1795450.649,1823541.3173,1850374.8051,1877469.9937,1904928.9224,1931578.6352,1957448.7934,1982768.5548,2006959.6481,2030275.6991,2052801.238
1,70,"Bosnia and Herzegovina",580677.0369,591047.2505,600128.9825,608337.8386,615787.8339,622722.2401,629360.4771,635595.3176,641761.5652,648143.4811,654630.4206,661249.0604,668119.4992,675063.0939,681999.8599,688502.8961,694521.5625,699732.8159,704161.724,708332.0614,712580.6298,716988.7547,721826.0904,626543.4874,588854.9982,555986.3075,588992.782,633932.7301,658043.9029,668711.7931,680183.1649,687666.3502,695221.5479,696475.6192,693568.4242,679465.3959,672409.4019,663060.1722,649518.2407,634149.2984,617380.3854,599581.3425,581052.5678,561426.0962,547708.4389,534893.1534,522663.8222,511260.952,499871.963,488177.1317,477339.669,467462.9652,457162.2459,452153.9806,446702.0321,440948.5553,435021.9526,428751.3316,422902.822,417030.3885,410898.1338
1,72,"Botswana",61364.3555,61978.5993,63159.391,65253.5751,67805.6855,70729.8289,73862.9931,77238.3798,80844.7935,84635.7375,88591.9831,92578.2869,96350.3434,99462.8052,102715.7063,106159.7632,109753.6589,113440.1806,117228.6851,121158.0314,125271.88,129538.0716,133899.5066,138949.9053,144099.1279,149350.3942,154679.1559,160031.8608,165380.2856,170676.0398,175521.2031,180259.2048,186462.4071,192314.5805,198216.9452,204237.5262,210471.2378,216842.3451,223397.7147,230121.3772,236965.5758,243932.998,250911.8323,257774.308,264810.6196,271846.8793,278816.9607,285870.5475,292984.2516,299799.1103,306650.2683,313575.8616,319881.7921,326888.1394,333788.494,340563.3416,347269.8509,353860.7639,360276.6064,366523.6253,372625.7755
