Country letter code,ISO code,Country,In union,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
NA,52,Barbados,TRUE,434,440,447,457,469,477,474,466,458,449,439,431,418,404,392,383,376,374,373,370,361,346,326,306,289,278,271,268,267,267,265,264,260,255,249,245,241,238,237,235,233,229,225,220,216,214,213,212,212,213,213,214,214,214,215,217,218,221,223,227,230,229,228,227,226,225
NA,112,Belarus,TRUE,34333,35862,37307,38528,39354,39732,39811,39598,39165,38521,36937,35306,33466,31662,30137,28958,27777,27008,26606,26356,26046,25463,24778,24104,23569,23201,22806,22461,22141,21787,21342,20728,20043,19260,18331,17241,16090,14807,13463,12164,11162,10254,9442,8722,8106,7610,7238,6994,6860,6807,6817,6896,7029,7205,7409,7627,7858,8100,8334,8533,8682,8720,8684,8594,8480,8363
NA,56,Belgium,TRUE,27524,27294,27185,27153,27111,27004,26850,26668,26402,25980,25371,24572,23609,22552,21502,20518,19635,18813,18029,17257,16486,15775,15060,14355,13694,13097,12607,12184,11803,11431,11053,10779,10457,10089,9701,9316,9018,8714,8382,7998,7557,7130,6883,6625,6381,6170,6029,5925,5856,5819,5811,5842,5908,5995,6083,6162,6253,6333,6412,6505,6624,6647,6674,6700,6715,6715
NA,84,Belize,TRUE,1424,1469,1518,1570,1621,1667,1644,1639,1666,1719,1781,1824,1842,1846,1850,1863,1864,1881,1905,1925,1938,1913,1890,1880,1898,1950,2031,2119,2200,2258,2288,2325,2343,2353,2369,2398,2449,2505,2560,2607,2644,2695,2738,2769,2789,2796,2797,2791,2772,2736,2682,2621,2544,2460,2382,2316,2268,2232,2203,2173,2140,2170,2199,2227,2251,2271
NA,204,Benin,TRUE,71157,72557,74412,76642,79120,81774,84258,86987,89907,92965,94009,94677,95394,96113,96806,97471,97791,98132,98520,99010,99635,100268,100936,101489,101789,101787,101404,100887,100237,99470,98602,97492,96268,94889,93316,91521,89350,87014,84471,81668,78570,75011,71210,69695,68272,66937,65597,64347,63193,62150,61219,60344,59578,58900,58280,57698,57112,56586,56107,55663,55246,56388,57516,58641,59778,60933
NA,64,Bhutan,TRUE,2128,2176,2249,2338,2433,2527,2622,2721,2823,2929,3042,3150,3266,3391,3525,3668,3821,3983,4137,4266,4359,4339,4289,4239,4216,4238,4342,4481,4651,4848,5065,5275,5511,5755,5968,6125,6076,5961,5800,5625,5453,5279,5111,4947,4779,4608,4443,4276,4114,3969,3845,3737,3650,3574,3494,3401,3303,3194,3081,2976,2884,2877,2878,2883,2884,2877
NA,68,Bolivia (Plurinational State of),TRUE,38090,38973,39650,40205,40792,41518,42129,42554,43074,43654,44283,44689,45192,45774,46415,47111,47616,48178,48814,49548,50396,51185,52058,52979,53890,54755,55397,55998,56549,57042,57478,57668,57813,57941,58087,58278,58395,58540,58721,58942,59200,59413,59659,59951,60137,60179,60059,59788,59393,58914,58375,57735,57053,56320,55518,54643,53713,52720,51706,50726,49810,50024,50321,50666,51001,51286
NA,70,Bosnia and Herzegovina,TRUE,22303,22510,22540,22489,22499,22643,22731,23011,23383,23667,23741,23596,22462,21219,20054,19060,18026,17161,16365,15493,14481,13301,12025,10763,9633,8682,8010,7458,6986,6554,6131,5684,5249,4804,4331,3825,3304,2768,2240,1743,1279,839,755,689,631,576,520,465,414,374,346,328,320,320,321,323,325,328,332,339,350,348,347,348,348,349
NA,72,Botswana,TRUE,3360,3513,3618,3701,3782,3873,3971,4071,4173,4274,4375,4477,4588,4707,4835,4974,5117,5274,5443,5625,5822,6047,6274,6501,6725,6942,7163,7385,7587,7736,7818,7852,7826,7761,7691,7642,7596,7569,7552,7535,7513,7475,7443,7409,7370,7327,7277,7229,7186,7154,7138,7154,7178,7216,7272,7346,7443,7558,7671,7754,7790,7859,7884,7875,7852,7828
NA,76,Brazil,TRUE,607655,631355,653677,675634,698965,724604,752004,781489,811497,839447,863682,883440,900126,914249,927085,939746,951737,963745,976789,992415,1011664,1035607,1062605,1092091,1122874,1153791,1184112,1214705,1243488,1267433,1284681,1294293,1297523,1295962,1292603,1289679,1288251,1286456,1285468,1286651,1290590,1297308,1305183,1311804,1313228,1306974,1293495,1273355,1247622,1218278,1186896,1154628,1120071,1084927,1051400,1020654,993279,968788,945500,920856,893419,888645,882184,874400,866054,857606
NA,100,Bulgaria,TRUE,52893,52433,52022,51602,51087,50458,49764,49122,48613,48265,48041,47774,47548,47410,47406,47556,46966,46503,46125,45722,45176,44148,43028,41809,40440,38900,37289,35451,33538,31784,30324,29024,28024,27173,26217,25004,23511,21854,20109,18407,16831,15323,14040,12895,11954,11248,10744,10448,10319,10292,10317,10367,10473,10585,10634,10581,10415,10144,9815,9499,9238,9126,9047,8990,8933,8861
NA,854,Burkina Faso,TRUE,152333,154925,158188,161989,166096,170373,171244,172358,173854,175920,178628,180127,182488,185416,188507,191567,193293,195148,197328,200149,203793,206997,210990,215528,220240,224892,228204,231694,235207,238553,241646,243282,244877,246556,248492,250778,252264,254218,256564,259181,261965,264355,266912,269542,272100,274467,276096,277452,278626,279711,280666,280834,280851,280464,279291,277109,273600,269270,264294,258890,253165,258371,263671,269081,274585,280159
NA,108,Burundi,TRUE,34790,35673,36387,37064,37867,38867,39730,40556,41273,41836,41512,41039,40653,40294,39901,39465,39004,38505,38054,37813,37873,37894,38465,39418,40483,41479,41836,42167,42603,43284,44252,45036,45878,46660,47214,47433,47483,47250,46707,45863,44746,43763,42718,41713,40882,40307,39956,39819,39906,40232,40794,41539,42526,43654,44784,45832,46804,47699,48540,49368,50204,51710,53208,54670,56054,57333
NA,132,Cabo Verde,TRUE,663,693,704,707,719,745,773,817,872,922,958,992,1008,1010,1008,1010,1000,996,1000,1013,1037,1069,1113,1168,1237,1318,1408,1511,1625,1745,1869,1983,2100,2214,2320,2410,2460,2499,2536,2579,2626,2664,2692,2713,2727,2737,2734,2726,2714,2703,2691,2673,2656,2641,2623,2600,2568,2532,2494,2457,2423,2424,2431,2440,2449,2453
NA,116,Cambodia,TRUE,57379,59143,60433,61260,61797,62187,61575,60852,60174,59638,59343,60211,61068,61959,63040,64308,64744,66000,67418,67986,67263,66092,63395,60645,60173,63310,69152,80189,95325,110953,123594,130070,130998,127544,123039,120374,117975,118152,120809,123836,125354,126669,126127,124213,121959,119975,117912,115682,113592,112015,111146,110893,111369,112254,113024,113335,113192,112585,111537,110102,108306,109023,109513,109768,109764,109498
