"Country letter code","In union","ISO code","Country","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"",TRUE,4,"Afghanistan",305771.316,311953.662,317511.462,323569.464,331078.6103,340338.3339,351034.7468,362128.8475,373915.9391,383190.2692,377880.2958,344503.4925,285237.0418,269998.4546,267493.8065,281115.5982,285672.0078,282842.9397,280947.8711,287767.9095,297651.2848,289521.2669,300519.7174,361397.6849,406528.1059,439543.3015,457409.7496,475029.7458,492828.8844,511925.6822,533283.2698,525618.6949,539728.4646,595008.9342,626938.5211,642781.5276,681804.9782,709943.4503,674185.0048,708949.5284,726781.356,741159.8251,791373.1443,823664.9587,854571.4502,901858.2175,920597.9606,957147.6489,1002008.5659,1052192.8315,1109664.6763,1181698.9436,1234353.4672,1297799.641,1363969.3213,1432147.7212,1499591.7502,1564601.0568,1625412.8861,1682206.8504,1735555.4174
"",TRUE,8,"Albania",62386.0534,64396.353,65959.4113,66983.7678,67578.2604,67744.7183,67887.3965,68298.0537,69268.4485,71037.2927,73730.8015,77773.3511,82229.3018,86735.5557,91391.8047,96011.4695,100268.0365,104734.0479,109342.7374,113772.1646,117540.5787,120141.1788,121578.2629,121625.469,120578.4444,118444.8267,115657.7083,112769.768,110311.7584,107818.6973,105535.6663,103399.8044,101140.4709,98178.5364,95182.118,91845.6988,88702.6285,85645.6431,83002.296,80368.6962,78256.2612,76411.6496,75085.0464,74142.133,74021.5476,74586.9384,75133.7912,75856.7264,77040.678,78424.2303,80444.4165,83556.8467,86257.3567,89642.4212,92283.589,94037.419,94337.6231,93883.0076,91657.6788,88687.7677,85805.3661
"",TRUE,12,"Algeria",347929.674,348472.48,347852.5148,347996.0668,350016.5612,353814.4088,364621.1828,378082.7716,388245.2225,402411.1912,419626.9013,439407.3173,461391.3798,485078.9413,509917.1564,535224.0438,560464.6428,584472.239,602412.8979,618041.321,631512.4783,643635.0448,655698.4287,669405.1558,684957.1425,701485.9392,718309.4896,727436.0966,740963.0976,759452.1965,776552.5132,791755.0472,805430.7286,817803.4604,829335.2022,840750.1844,849418.8174,861214.6376,874442.109,914772.7593,958661.7354,1005234.0658,1053536.6024,1100779.0496,1144879.3497,1184593.147,1218709.7287,1246348.451,1267296.241,1281412.1801,1287514.1548,1286921.2275,1282448.9485,1275147.8519,1264859.3589,1251234.4394,1231949.7936,1206448.6214,1176157.9169,1135146.1804,1098458.0185
"",TRUE,16,"American Samoa",629.7396,632.3205,635.7617,647.8059,661.5707,681.2676,702.277,732.1245,763.9211,798.435,831.4831,859.014,895.6838,926.8365,966.8913,1001.4288,1043.8502,1080.7675,1124.5899,1169.7888,1221.59,1285.6835,1358.8334,1432.7135,1495.451,1543.5109,1577.0969,1586.1937,1587.8622,1580.0412,1558.555,1524.3232,1487.5078,1446.7349,1408.413,1372.51,1338.2958,1317.5501,1294.1851,1268.2438,1230.2008,1194.2168,1143.3349,1089.2062,1035.8721,989.9607,942.0554,906.0403,892.3024,901.2608,939.9191,1008.7178,1095.7657,1177.6109,1240.7296,1260.6241,1236.1812,1164.2559,1060.3975,943.3046,832.9425
"",TRUE,24,"Angola",191353.026,190786.8738,190831.4699,191454.7294,191973.3446,192573.5181,193531.6762,194670.6963,196565.6769,197593.6273,197559.2716,201314.8035,205785.0714,212057.0102,221169.1129,233067.6949,243322.4183,254230.4811,265381.0436,277014.4149,288786.6921,300747.2539,312190.5715,323571.5985,334642.9338,345729.0231,356232.1042,366451.0025,376601.4412,386453.511,395858.5155,404473.4,413906.2713,423704.2618,434498.071,447054.376,461310.8397,477997.5547,496260.8478,515502.6452,535994.8659,558359.0211,582193.3728,607446.068,633730.8754,661147.911,689055,718211.7748,746804.8483,774397.3447,800863.895,823677.4811,846719.9768,866880.0428,886293.2327,905409.852,924561.1438,944329.2184,965362.8396,987461.5072,1011862.6796
"",TRUE,28,"Antigua and Barbuda",855.5549,843.8449,829.3663,813.2719,805.6835,805.9624,820.7303,843.732,876.5519,913.0158,946.4758,973.1141,1000.1102,1032.9153,1071.4715,1145.5384,1227.2089,1305.6315,1375.4637,1429.2929,1457.6716,1461.3787,1512.1861,1566.8495,1619.0108,1671.8385,1735.7786,1806.5466,1858.6224,1900.9889,1930.1302,1936.4113,1913.4789,1852.9653,1773.328,1702.0668,1640.7436,1597.7868,1567.7291,1547.6735,1520.2857,1486.8168,1442.0294,1431.6401,1426.4505,1426.395,1434.2776,1450.0146,1451.6866,1453.5625,1453.7449,1466.8879,1452.7917,1445.343,1451.6596,1464.7032,1469.3048,1498.8851,1522.151,1520.9397,1507.1881
"",TRUE,31,"Azerbaijan",192948,185835.6559,172408.1007,154633.4611,135135.7793,111821.1571,94540.9474,88501.3416,95804.5571,113170.6415,130018.3943,146115.3974,159314.722,169066.6384,177825.3458,188878.0345,203091.4437,219290.3583,237423.0503,256316.7588,268688.0182,282477.0695,292156.9607,298805.7859,302060.023,303605.3953,302701.293,301044.5277,297413.5597,295714.3009,292560.3815,289139.748,285141.8829,280572.4643,274889.6194,268101.9465,263393.0405,261198.7782,261424.1631,264482.0948,271234.099,279755.2713,289382.8972,299384.4442,309616.5825,319889.457,330068.2635,339869.3478,348710.1899,355622.8505,359654.3225,360213.2986,357234.417,350921.3561,342304.8363,331387.9207,318373.5429,303589.878,287480.8568,271166.2007,256147.447
"",TRUE,32,"Argentina",649208.5841,656260.5186,665511.0249,676985.7017,690417.8243,705378.9229,720779.8653,736108.3275,751276.0136,764447.0494,773830.7225,782470.2565,790925.122,798429.6513,806701.6108,816517.6232,825001.209,833172.6837,842306.031,847884.3784,852164.0654,854714.6179,856048.4025,858255.5105,863580.3705,869048.7316,874830.5611,880629.1298,884616.2427,889014.4478,897017.4025,909067.1337,920984.5505,935524.4127,954065.2435,974707.1325,993976.7464,1012172.6976,1029171.3342,1042739.3693,1051822.738,1057712.4206,1058282.7492,1054495.8344,1047733.2821,1039321.423,1031085.5478,1024339.0172,1019709.0268,1017022.8063,1015728.4541,1016799.7198,1018949.0169,1021906.9006,1026159.9785,1030884.8569,1031105.3624,1028060.089,1022272.966,1015386.217,1009953.9903
"",TRUE,36,"Australia",293949.8879,306883.3918,319983.0041,329113.4203,340736.2512,354905.2841,367737.5411,389082.45,416499.0106,436522.1724,451813.6224,468885.5946,479004.7504,482707.3821,488057.6495,492505.3953,497885.7203,503684.3416,511742.1988,521109.8873,531397.8591,541905.2942,550497.9903,554230.9393,554362.4979,550973.8406,543460.7346,534403.3618,525808.9778,520838.0805,520941.7157,528315.923,539032.0735,545373.9153,545332.4493,540191.9689,529980.588,521209.5287,517702.2287,520254.9281,526693.0192,536902.0781,552188.8286,571758.9197,592395.5516,611741.9811,629817.4272,646281.4294,660180.6359,671993.2043,686437.8101,694742.0808,700491.0194,704798.6472,707883.5559,710004.3886,709211.7673,704899.6175,698926.8783,691040.424,681024.8793
"",TRUE,40,"Austria",183152.8736,203452.8585,219404.4391,228464.5654,234274.5684,224066.5651,202147.1934,190865.3484,193821.4401,194932.9768,193772.6169,201322.6952,202677.0414,196427.6561,192196.8316,191121.9024,192286.7649,197611.6562,202155.381,207041.8079,213383.2267,220073.4354,226559.6352,233612.7546,239575.6106,242752.6118,243501.6735,242848.3577,240715.0171,237358.4135,233298.8853,226865.821,223111.5429,218121.401,211119.7202,205079.5362,200266.4671,194387.8515,189604.215,186867.8916,184438.3717,185953.0503,190914.9668,197004.598,202464.1599,208070.1969,211438.4592,212604.8282,212778.307,214341.9921,216227.7277,218156.5262,220001.9101,221099.1633,221065.4781,219444.3953,216529.4448,213127.6605,208558.5853,202761.6511,196544.9271
"",TRUE,44,"Bahamas",4245.0448,4433.0266,4610.5256,4754.8079,4863.1189,4936.3478,4962.8461,4943.1608,4896.3233,4846.1126,4806.7115,4794.4189,4820.9417,4920.2979,5087.7037,5344.0208,5656.7178,6005.1112,6379.8175,6729.5064,7060.7439,7324.6484,7601.449,7852.3333,8046.5505,8154.7413,8193.7844,8178.2304,8078.7898,7968.5113,7810.3903,7843.2394,7885.7569,7922.8513,7978.3775,8046.7093,7961.7344,7882.8869,7806.9666,7697.62,7636.2765,7700.2618,7685.0818,7627.1773,7669.0185,7674.7526,7607.7022,7603.731,7606.7846,7589.6845,7698.3919,7828.9353,8025.9917,8362.4667,8739.2716,9006.8113,9214.4458,9383.7293,9480.9015,9529.5631,9598.4674
"",TRUE,48,"Bahrain",5271.413,5241.4721,5309.4769,5437.6776,5599.8737,5776.7594,5980.1955,6220.8119,6520.9697,6888.6427,7339.1614,7875.5423,8357.6733,8870.3954,9476.1792,10175.8835,10971.8841,11848.7194,12806.4896,13829.402,14888.77,15940.4527,16468.8797,16936.494,17374.1366,17801.1112,18236.8199,18693.3406,19132.498,19562.4537,19998.2804,20460.212,20837.1325,21229.0903,21655.0173,22285.1786,23217.744,24525.9095,26182.3761,28114.2699,30222.4064,29725.0318,28905.4466,29281.4855,30289.5995,31194.9459,31443.8873,31903.3542,32767.9805,33267.796,32102.8433,30803.2384,30289.3695,30024.5907,29773.1768,29436.5254,28783.913,27869.4861,26794.7793,25686.7841,24832.6596
"",TRUE,50,"Bangladesh",1796541.287,1823256.19,1837312.833,1860311.4725,1885709.207,1911078.0173,1955700.2277,2002126.6967,2051742.4214,2085772.8903,2121516.2249,2188292.4121,2276100.1638,2382548.7189,2520935.3429,2671866.4142,2803860.1879,2921748.91,3027759.2715,3119280.1566,3196034.7948,3265443.5823,3323571.2319,3378345.8299,3426768.2886,3475941.68,3522289.7026,3592302.8024,3699617.2197,3837820.7119,3999850.0562,4183184.9646,4380056.7711,4576420.7306,4748137.5504,4905132.3825,5037855.6084,5136685.3397,5222574.0091,5297822.6757,5411724.6189,5545312.1436,5689115.1875,5847643.4827,5982682.3301,6102301.7077,6210015.4643,6307922.2174,6380898.825,6460179.207,6551739.1294,6649831.1222,6726021.0028,6781202.8455,6832845.5487,6886498.1076,6930293.4958,6991464.7197,7089252.762,7187318.7282,7259904.147
"",TRUE,51,"Armenia",95593.214,94402.7379,89142.8525,80223.8976,68193.6104,59885.4573,54325.3392,53452.6795,58030.8765,67244.1432,77697.41,86388.1131,93412.1576,99287.8741,104931.2924,111204.576,117423.6221,122741.4235,127824.8788,132580.5093,145139.488,151649.5984,156872.0937,150681.6373,145116.5352,138072.5867,131858.174,124511.3664,116946.7216,109559.8411,102583.762,97007.4819,93135.8265,91289.8605,89872.0375,88642.2398,87798.095,87173.3399,85688.421,85880.938,86775.939,88410.375,89998.234,92784.4557,96047.1112,100543.8048,104538.52,107737.3154,110441.9128,111400.2163,111405.3232,112075.9511,112649.1345,112254.2395,108597.0968,102477.5603,93654.8575,84811.8163,76178.7694,69920.6102,65028.5754
"",TRUE,52,"Barbados",4084.56,3918.8187,3841.4196,3838.4909,3957.391,4161.1305,4430.5264,4763.5583,5145.4272,5558.256,5904.2851,6361.1476,6786.6154,7174.5313,7536.8617,7925.0047,8242.7695,8533.1693,8774.8303,8948.5622,9048.0343,9168.3,9262.8645,9301.0674,9317.1446,9290.3368,9215.1276,9087.5117,8913.4587,8643.5589,8352.9866,8137.3155,8071.707,8200.7417,8278.9686,8305.4385,8264.46,8113.0905,7905.3779,7773.4528,7666.1444,7553.8927,7547.584,7640.1426,7743.947,7768.1694,7790.2009,7754.4134,7529.1851,7299.4631,7254.8709,7291.9459,7350.3057,7448.624,7493.8236,7383.8994,7198.8857,7036.3309,6931.8919,6901.5257,6947.8669
"",TRUE,56,"Belgium",273376.0353,268789.828,259554.1109,253119.3634,251102.286,252574.9151,259906.2836,280806.6396,298348.5272,310001.1791,318149.1375,325819.7179,324065.5579,324287.8022,324820.4147,327994.9396,332149.2026,337482.0099,342112.8909,347191.2582,352323.2305,355202.0332,358964.4077,360836.9752,363004.3249,364429.158,364511.2149,361390.0051,357096.3571,350340.3128,343171.0521,339072.3661,330385.786,322374.0576,313156.5019,302200.2301,289676.3397,278422.2601,269670.5695,264011.1424,260495.1936,259109.7208,253602.243,246524.4727,237884.9993,228659.0135,218693.6661,209918.7124,202371.9688,196591.6881,191609.2887,187841.7335,184263.455,179971.9717,174586.8803,168305.5733,161824.5495,155890.9926,150871.0279,147038.4778,144881.4242
"",TRUE,60,"Bermuda",1434.8172,1489.5313,1520.5632,1552.4117,1596.5097,1650.4072,1710.8378,1755.7523,1792.5007,1819.4494,1857.831,1893.856,1931.5185,1961.1876,1975.9073,1994.079,2022.621,2061.2708,2106.6994,2154.9175,2206.5854,2258.599,2285.7055,2264.9727,2239.1609,2205.5099,2143.4437,2062.2368,1987.7629,1915.6848,1872.2469,1853.9578,1811.2449,1759.5866,1691.9125,1607.3706,1516.2791,1471.9893,1443.6736,1424.5284,1448.2642,1447.0024,1410.6957,1394.6833,1395.3753,1384.8978,1343.4853,1280.7171,1204.6017,1122.2622,1027.9135,958.8459,898.0009,846.2942,804.0973,782.0336,782.8088,796.7486,822.7669,864.3879,926.9484
"",TRUE,64,"Bhutan",8608.2181,8878.9058,9153.064,9436.7656,9737.8189,10075.3111,10438.8308,10815.3645,11178.8843,11385.3704,11589.2539,11597.0622,11592.7242,11593.5918,11754.0958,11902.4535,12228.667,12572.2322,12927.9437,13287.1255,13663.6592,13995.0782,14149.509,12990.4101,13034.6571,13198.6315,13599.4576,14015.0327,14455.7679,14984.9972,15441.349,15889.0249,16328.025,16777.4361,17250.2721,17758.6792,18293.3613,18873.4813,19523.9463,20280.7716,21138.4012,22018.0764,22850.8737,23584.5242,24185.0344,24703.4589,25261.6954,25921.1862,26969.2752,28156.0601,29327.667,30299.7211,31010.6306,31355.5937,31297.802,30951.9808,30414.3806,29766.2572,29154.6598,28693.8817,28421.1269
