"iso.country","groupname","iso.group"
104,"UNICEF PROGRAMME REGIONS",1818
108,"UNICEF PROGRAMME REGIONS",1818
112,"UNICEF PROGRAMME REGIONS",1818
116,"UNICEF PROGRAMME REGIONS",1818
120,"UNICEF PROGRAMME REGIONS",1818
132,"UNICEF PROGRAMME REGIONS",1818
140,"UNICEF PROGRAMME REGIONS",1818
144,"UNICEF PROGRAMME REGIONS",1818
148,"UNICEF PROGRAMME REGIONS",1818
152,"UNICEF PROGRAMME REGIONS",1818
156,"UNICEF PROGRAMME REGIONS",1818
170,"UNICEF PROGRAMME REGIONS",1818
174,"UNICEF PROGRAMME REGIONS",1818
178,"UNICEF PROGRAMME REGIONS",1818
180,"UNICEF PROGRAMME REGIONS",1818
184,"UNICEF PROGRAMME REGIONS",1818
188,"UNICEF PROGRAMME REGIONS",1818
191,"UNICEF PROGRAMME REGIONS",1818
192,"UNICEF PROGRAMME REGIONS",1818
204,"UNICEF PROGRAMME REGIONS",1818
212,"UNICEF PROGRAMME REGIONS",1818
214,"UNICEF PROGRAMME REGIONS",1818
218,"UNICEF PROGRAMME REGIONS",1818
222,"UNICEF PROGRAMME REGIONS",1818
226,"UNICEF PROGRAMME REGIONS",1818
231,"UNICEF PROGRAMME REGIONS",1818
232,"UNICEF PROGRAMME REGIONS",1818
242,"UNICEF PROGRAMME REGIONS",1818
262,"UNICEF PROGRAMME REGIONS",1818
266,"UNICEF PROGRAMME REGIONS",1818
268,"UNICEF PROGRAMME REGIONS",1818
270,"UNICEF PROGRAMME REGIONS",1818
275,"UNICEF PROGRAMME REGIONS",1818
288,"UNICEF PROGRAMME REGIONS",1818
296,"UNICEF PROGRAMME REGIONS",1818
300,"UNICEF PROGRAMME REGIONS",1818
308,"UNICEF PROGRAMME REGIONS",1818
320,"UNICEF PROGRAMME REGIONS",1818
324,"UNICEF PROGRAMME REGIONS",1818
328,"UNICEF PROGRAMME REGIONS",1818
332,"UNICEF PROGRAMME REGIONS",1818
340,"UNICEF PROGRAMME REGIONS",1818
356,"UNICEF PROGRAMME REGIONS",1818
360,"UNICEF PROGRAMME REGIONS",1818
364,"UNICEF PROGRAMME REGIONS",1818
368,"UNICEF PROGRAMME REGIONS",1818
384,"UNICEF PROGRAMME REGIONS",1818
388,"UNICEF PROGRAMME REGIONS",1818
