"Country letter code","In union","ISO code","Country","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"",TRUE,4,"Afghanistan",192340.816,196718.192,200982.784,205622.192,211056.2601,216273.6104,221057.5632,225606.6603,230696.0962,234878.1103,231929.8949,215841.1762,182706.4154,176420.269,178044.1042,189778.9159,193261.9654,193860.7291,194644.5901,200024.9306,204687.725,192443.6411,195482.4928,230288.931,254810.1211,272997.2419,285971.7027,297512.8225,309066.1725,321491.2,335619.8536,331629.2562,341428.4677,377803.7604,399766.1663,411811.2203,435266.1308,455211.5909,449200.0783,473014.7265,490473.36,506989.94,539155.216,564332.076,589001.448,620349.356,637517.212,659322.3522,682518.0256,705252.0439,728973.8302,757266.739,776006.8317,797833.9393,821225.6977,846726.7804,877430.2869,914214.3668,956446.3776,1003796.2471,1055540.8217
"",TRUE,8,"Albania",44955.5846,46222.5571,47449.3824,48615.52,49830.2077,51143.8631,52651.7192,54433.1368,56507.7226,58739.1628,61109.718,63251.5271,64915.3039,65916.1842,66280.3104,65869.5014,65253.2877,64776.189,64837.8104,65752.7942,67747.7954,70917.9469,74194.288,77148.8621,79986.153,82657.4521,85134.579,88209.7467,91870.2926,95535.4243,98974.8456,101286.6367,102463.4143,102449.0719,101999.9026,100773.4684,99241.7225,97922.0918,97094.256,95680.871,94501.7928,93513.4914,92091.1536,89576.01,87216.0384,84255.5224,81807.9132,79467.4554,77760.156,75693.9036,74192.0345,72843.8058,72181.7886,71258.3113,71824.0281,72788.5971,73816.3276,74890.9235,76119.1729,77183.8994,79185.9354
"",TRUE,12,"Algeria",229952.6576,237213.666,244367.1288,251362.634,258251.4338,265088.1412,278677.536,290847.833,294669.4003,297938.1205,300805.3936,303551.0934,306494.1826,310066.4633,314848.2285,321463.3563,330600.4702,342623.6986,356090.6429,372585.2195,391857.2846,413553.8443,437137.8514,462115.7717,487943.2173,513700.434,539082.4875,553156.4,561726.7711,579860.9567,597669.1715,615742.9365,635226.8985,657307.3699,682832.9707,711769.5116,741121.3574,772879.5112,803871.1511,829773.3011,853805.7464,876313.6521,897749.1137,918593.2042,939125.8895,959862.2948,981558.0801,1003509.0323,1027752.8807,1055177.5669,1085011.123,1116972.197,1150469.3854,1182103.6995,1209710.3513,1232197.7265,1248573.2414,1258288.1815,1261493.517,1258334.5974,1249629.4909
"",TRUE,16,"American Samoa",518.7088,527.5908,529.3672,524.9262,524.038,523.402,524.5098,525.585,530.9871,548.4654,564.0287,578.5613,590.364,605.4343,611.8589,635.9047,674.7972,719.9639,761.3334,812.1876,863.327,904.1222,953.7415,995.7739,1041.6886,1078.4359,1117.445,1149.7865,1191.6733,1234.9734,1294.9678,1348.2546,1392.4739,1435.6794,1470.6985,1486.4453,1493.3717,1479.6561,1461.246,1440.5396,1408.1133,1375.6317,1337.1022,1294.909,1259.2045,1225.277,1190.7846,1179.7252,1161.0499,1134.8053,1095.6488,1058.2427,1001.109,951.8942,897.5627,854.1472,810.1653,779.2975,768.3125,783.9473,831.3981
"",TRUE,24,"Angola",110856.9728,115914.259,121928.5174,128632.4109,135516.4136,142476.0982,149135.5031,155495.2148,161689.4823,166902.9843,170864.1425,173760.7796,175397.7811,176153.6911,176624.3647,177182.4925,178068.6779,179148.3153,180253.1829,180688.8186,180122.252,182437.5574,185170.21,189142.3293,195173.6217,203710.9883,210960.4374,219067.9851,227574.9752,236260.9757,245046.1792,253925.52,266483.6171,279220.2024,292107.7075,305171.797,318195.7184,331268.4763,344569.6458,357937.0917,371412.0264,384792.0544,397816.7621,411442.6262,426108.8086,442182.0798,460023.732,480253.0569,501585.749,523713.7111,546718.572,569778.1451,594079.1151,618802.278,644734.4613,671861.3809,699734.9985,727765.1074,755595.7592,782884.9671,808982.8896
"",TRUE,28,"Antigua and Barbuda",851.7054,852.5066,855.0199,851.2414,845.7571,833.4418,820.5817,804.3345,784.143,764.5611,745.0199,728.9176,715.6774,708.1157,709.0365,717.2844,741.8479,779.8599,828.4658,884.8233,939.3726,988.1977,1026.8405,1072.6623,1116.7055,1176.2654,1234.5766,1280.5127,1343.5765,1434.816,1528.0681,1613.9069,1669.0848,1719.8785,1753.5353,1782.7668,1824.9365,1866.1087,1887.3856,1897.0027,1897.8429,1880.8683,1863.0403,1818.9569,1758.0179,1704.1962,1660.0365,1630.8462,1615.4123,1611.2459,1602.0713,1588.7975,1568.0962,1584.0856,1606.7342,1635.2318,1673.0657,1722.8859,1756.4892,1789.5226,1819.4237
"",TRUE,31,"Azerbaijan",120592.29,126331.1102,131921.6741,137404.2395,142456.6903,147002.3777,154029.8154,157075.9961,161785.882,167126.2944,171358.4775,168562.1556,158306.7874,140878.2647,119217.6472,99289.962,85713.6001,81335.5654,87389.3156,100767.2879,115000.4652,130354.0895,143059.8934,152552.3118,161122.0938,170347.4416,182081.4555,195361.5217,210556.4753,227610.7269,248009.1689,267225.2005,282995.7296,294761.5451,302746.9106,303889.6217,302067.1651,298784.0459,295191.73,291851.4416,289856.5561,287270.5918,283694.7399,278960.4486,273705.1049,268972.9426,265852.0873,265237.4592,267594.0078,272802.247,280345.4014,289390.3175,299797.2569,310876.4366,322209.7073,333658.3205,345003.4205,355903.1654,365789.7062,373598.6769,378383.3546
"",TRUE,32,"Argentina",626223.2562,629180.4246,628448.189,625149.635,620979.2946,618544.8006,617646.4482,618391.224,620611.7918,624351.0998,629544.9894,636416.5942,645700.25,657264.0312,670906.6672,685957.8488,702264.681,718912.42,735737.1606,750771.9216,761862.9594,771780.2426,780608.388,787956.8276,795536.8158,804469.4658,811950.396,819034.216,826985.5404,831467.35,835056.624,837528.5004,837123.7262,837525.3149,840790.8709,844228.8045,847910.5677,851546.3678,853318.1058,855561.7571,861320.0219,871016.5449,885569.4633,903535.1659,925672.0697,950040.7682,973269.3379,995460.9512,1016681.912,1034476.5527,1047849.0175,1057389.8045,1062040.1285,1062922.6872,1061703.4192,1059417.3229,1057951.2995,1058723.6767,1062371.242,1068798.8417,1077491.7566
"",TRUE,36,"Australia",309221.106,311740.2636,313488.3003,308724.1072,303303.4852,298822.3617,296218.6086,298470.9649,304281.2144,310905.696,317940.9541,326134.5203,336956.2422,347843.8511,360236.2845,376134.5523,393236.6798,417189.0785,445818.7172,467845.1441,485150.8864,500095.7531,506610.5307,507030.2592,510275.2798,515448.6698,521074.0312,527539.6492,533718.5772,539572.3698,546817.1906,555395.3037,564265.8117,571033.7353,573891.8907,572353.2431,566741.2166,561613.7691,557724.4634,558636.567,565183.5709,578888.3063,597121.8461,610630.2519,615553.4056,613689.2874,605021.5107,593604.2612,586438.9715,584653.782,590683.2581,601151.5763,616794.9185,636785.3347,658594.8835,679481.4738,697949.3217,713033.2825,725121.4552,735629.9245,746383.2704
"",TRUE,40,"Austria",198663.6568,192019.5666,186432.5817,182731.4137,177548.702,172014.6641,165072.7616,160290.3778,156363.3175,156813.1484,173033.016,191635.4088,207044.9509,214591.8774,219676.3651,210916.6376,191229.4177,180628.9496,183704.0396,185722.4741,185771.3685,194453.1222,196829.8829,193944.6887,191673.2354,191527.3385,193959.2666,200547.2745,205668.5045,211158.7249,217475.5888,223239.3545,230079.0939,237586.9067,246120.1743,253514.2498,258749.5983,261586.1634,262602.3506,262529.5555,260924.077,257132.5633,252925.0576,247601.8481,240094.1657,233632.5373,229212.4672,223786.0971,219438.1878,217261.4246,216010.7364,217529.2622,222520.9502,228145.688,232291.3778,236062.2642,236824.9644,236185.34,235118.4219,236032.6114,237096.7743
