"Country letter code","In union","ISO code","Country","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"",TRUE,4,"Afghanistan",360928.535,373272.405,386710.155,401176.718,413698.4253,421743.6815,421847.3624,419897.0811,418130.4743,416946.6424,407549.6508,381815.1791,325788.0369,316654.2598,319792.2859,339254.1135,342182.6906,338710.0868,336116.525,344062.4801,355483.037,345327.3193,358233.5532,430259.0006,483262.7589,521548.9216,541656.8925,561023.8772,579998.7075,600268.5524,622963.7059,611564.7941,624925.9528,686044.7013,718931.3885,732532.9054,774617.2172,801598.9109,744815.3702,783080.6031,801095.23,819979.4381,891521.6792,944609.3439,998915.1693,1075661.4141,1111170.0501,1164458.97,1224254.8561,1286227.2879,1353202.1857,1434396.6645,1484340.9638,1539678.6306,1591101.0154,1638933.104,1683960.9093,1727486.8309,1770218.9398,1810876.9424,1847426.3452
"",TRUE,8,"Albania",63389.7989,63767.8172,64382.9409,65452.8679,67215.5473,69724.1379,73464.6634,77622.8655,82013.9538,86742.5586,91620.5144,96300.1792,101299.6409,106539.583,111712.8657,116687.8574,120704.3025,123695.5416,125449.7831,125848.0525,123770.1044,120712.6283,117167.8692,113778.6543,110377.2668,107179.639,104271.0098,101440.2463,98212.8327,94940.1807,91477.315,88043.5659,84540.5634,81233.0208,78102.0172,75359.9106,72868.204,70736.7828,68957.844,68297.0911,68106.3476,68124.6599,68523.4368,69374.62,70515.2828,72166.0115,74612.23,76979.7027,79653.314,81718.2726,83209.0081,83293.4106,82636.7573,80997.9364,78693.2392,76439.0793,73618.08,69618.4299,67380.6831,64300.28,61436.6394
"",TRUE,12,"Algeria",352426.473,356586.475,363295.457,372437.632,383750.605,397407.64,423657.136,454368.18,472710.628,492506.2753,512523.3454,532155.9545,551002.174,568518.6687,584382.4665,598839.8731,612710.8996,626315.9132,636229.2469,647779.5279,660251.0233,672504.1514,683458.9648,691903.6294,698329.6701,703424.5277,708711.6181,719137.4858,729865.5256,735250.2638,741004.6554,746542.4055,751334.3903,756651.9405,763226.2762,770957.0335,775532.4108,783042.759,787670.7773,824602.0311,858659.0563,888904.4138,914564.5103,935474.2472,951432.6247,962693.2584,969156.653,973142.8241,975327.2581,975609.8643,972876.4144,965892.4043,953401.3911,936769.251,910827.3219,887565.5191,871699.8123,863352.7379,862585.1579,880887.6777,907510.4423
"",TRUE,16,"American Samoa",636.006,671.074,720.488,767.511,809.752,837.7537,860.9416,880.2283,891.1788,898.575,900.3152,929.4308,966.8257,1013.5446,1064.2494,1118.0178,1168.5153,1221.1733,1275.1564,1325.753,1374.3064,1429.5931,1456.092,1476.889,1488.0236,1482.8749,1471.1153,1459.2541,1443.996,1432.5824,1422.3976,1405.4718,1389.0832,1374.5762,1359.9553,1341.8543,1323.6191,1292.3802,1252.7774,1203.3747,1150.2377,1110.8749,1083.2975,1077.9514,1093.6071,1139.3409,1215.2409,1312.3444,1413.3089,1494.5113,1531.6432,1519.8482,1455.7485,1336.7627,1206.619,1080.6268,966.4367,880.5278,813.8933,763.7124,731.9162
"",TRUE,24,"Angola",195730.4712,190983.4872,189579.5494,190795.7607,191477.5906,190823.1938,193632.7811,196897.072,202511.9239,210802.8268,222270.0233,232609.7325,243955.0546,256050.3267,268862.5066,281659.3546,294394.4127,306712.6866,318569.0895,330227.3231,341390.7077,352189.0272,361572.1372,370799.6741,379686.4485,388576.7823,396243.7893,403206.8992,410548.6003,418677.0277,427966.6161,438951.1185,453539.3604,469460.66,486268.7596,504426.7062,523398.207,543796.2917,565565.856,588378.3444,612778.618,638972.1525,665859.3836,693010.1026,719638.3152,745005.0828,768834.5,793059.0361,815219.2549,835758.5046,855868.4373,872557.7569,891284.3576,909162.7164,927890.4841,948588.9341,971990.0355,998663.6996,1029068.9374,1063169.6767,1100481.2459
"",TRUE,28,"Antigua and Barbuda",882.2971,909.1596,926.7444,939.4165,950.993,961.4872,969.983,983.4421,1004.0931,1030.9149,1073.8429,1133.0943,1204.8145,1282.0748,1361.2069,1425.2676,1466.0566,1480.8259,1468.2034,1434.2656,1387.5784,1332.6557,1352.5243,1391.3508,1422.9064,1448.1424,1463.3638,1482.1157,1474.3605,1449.6239,1425.0669,1399.0504,1356.0536,1316.8035,1284.9465,1249.8695,1213.2703,1173.1164,1162.0007,1153.5449,1146.829,1143.2833,1143.669,1133.1997,1120.6621,1107.5024,1104.8147,1078.6392,1059.9286,1051.0178,1047.4116,1038.8268,1048.268,1052.7478,1042.0316,1022.4556,1021.9571,1010.3006,998.7773,999.1647,1005.468
"",TRUE,31,"Azerbaijan",112855.221,95674.4041,87490.2074,90171.1246,100973.7186,121207.6635,142566.2776,160423.8847,169899.868,175267.6967,185372.6033,198202.9373,212767.1733,229002.274,246224.1317,261285.5487,274016.3162,282765.6695,288605.8669,290728.0551,284804.405,280894.11,276786.1088,267927.1292,262519.1894,257927.1166,256072.5233,252815.0513,251735.7868,248256.2096,242995.2825,240254.5317,240233.164,241965.9796,244966.7645,248009.1392,252704.6266,259453.4208,268523.9702,279523.831,288547.0595,297452.3364,305973.5085,313545.6844,319363.0184,322560.6299,322770.4514,319716.3818,313644.1184,305536.3901,295340.2318,283215.8858,269639.7658,254911.3754,240034.4932,226343.1809,214155.513,204231.6827,197670.7731,194258.0863,193590.8333
"",TRUE,32,"Argentina",629040.4826,642369.701,655753.6646,669265.6132,681245.7588,689927.7303,696165.0282,701153.3582,704548.6043,707970.6193,712813.8881,716695.5209,721020.6854,726600.9225,729699.0333,732159.707,733856.7844,735232.4278,737372.4225,742250.1358,746816.433,750860.948,754109.3915,755902.728,757914.0839,762866.9075,771207.2079,783597.7398,798802.2782,817635.2017,838381.6101,858025.9116,874384.2506,889100.8075,900582.874,908053.5544,912704.3818,912680.3911,908757.4749,902481.952,894992.0992,887783.7834,882122.7985,878523.4478,876729.0114,876173.2259,878316.8763,880625.6752,882657.8286,884723.7336,886272.1495,883013.5236,876810.2525,868302.5314,858920.1131,850699.1996,843814.8919,838345.3078,835245.696,832173.0904,829222.1736
"",TRUE,36,"Australia",292665.394,313544.9247,338623.4986,360887.753,377344.5811,391123.1082,403720.9392,407940.3151,408548.8924,412610.515,417526.8101,423167.3684,430567.7527,438048.7665,444587.4671,452811.6744,462475.9945,468590.4582,474306.0044,477961.7081,476937.7646,469111.5411,458534.4115,448180.2396,439950.2589,437178.329,441151.8423,448329.3323,451593.2075,448767.5623,441692.7229,428538.2297,412246.0442,400039.9043,391898.3533,387287.8137,387808.0086,397268.9703,411876.5508,429927.614,445852.747,456192.2007,465586.0699,475579.8288,484002.0611,491894.1878,499743.4752,507891.7323,515157.3742,520897.7101,526456.981,524118.1581,519111.794,513964.6456,507463.8324,499439.4972,490326.8717,482103.2922,475311.1404,469917.4386,466073.391
"",TRUE,40,"Austria",214262.1373,194283.5582,183269.9416,186538.1064,188747.7371,186523.2735,192070.9504,192234.188,186639.5864,181208.5159,178752.4869,178730.0576,183447.3814,185737.7587,188888.2151,192496.2394,195667.1006,197773.7329,199496.7645,202217.4194,205329.302,207158.4731,207845.4625,207118.4044,203851.4211,198158.0681,190398.9437,182816.3134,174148.3126,163925.6214,154757.1017,146926.6227,141710.3174,137798.593,136113.3643,135424.425,137227.2627,140371.0335,144414.2944,147282.4478,149470.1804,149585.2092,148897.3156,148624.8852,150283.6944,152630.4856,156498.1861,159192.0588,160507.749,160748.6139,160079.6329,157992.9132,155579.6535,152310.1647,148147.1201,143693.4332,139750.331,134587.119,131317.6597,128776.2562,127859.025
