"Country letter code","In union","ISO code","Country","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"",TRUE,44,"Bahamas",3496.0882,3614.7637,3719.2749,3830.5612,3946.3189,4079.0756,4227.0327,4391.2055,4542.2738,4664.7383,4753.7354,4792.4341,4712.3599,4622.3302,4570.0156,4563.0831,4650.4694,4757.2408,4923.1606,5131.5849,5441.2018,5710.9808,6053.1825,6413.7435,6736.6309,7040.7307,7326.9546,7620.5621,7885.274,8099.4625,8224.8694,8331.2265,8354.1638,8310.8125,8259.543,8194.8023,8308.4392,8456.5721,8582.8519,8743.1446,8842.902,8721.936,8617.6235,8523.1463,8413.2167,8359.2018,8436.0065,8452.2987,8436.4432,8530.9057,8577.5215,8520.4102,8540.9529,8584.5106,8605.5813,8771.912,9004.947,9295.4129,9720.5842,10194.4386,10543.8659
"",TRUE,48,"Bahrain",4606.3621,4680.7607,4770.2139,4888.3614,5004.367,5141.4143,5288.5555,5458.8812,5645.0204,5862.4843,6096.0054,6347.9317,6510.9538,6682.4908,6921.3945,7253.9195,7681.2435,8225.5699,8875.933,9653.271,10562.3008,11604.3029,12450.5312,13321.5084,14191.4807,15049.7875,15888.3971,16705.861,17515.9384,18336.8832,19186.5794,20069.9545,20698.0996,21299.684,21948.2131,22550.5183,23064.071,23570.6013,24201.8139,25088.4763,26315.4684,25746.4774,25118.1956,25487.4856,26246.1701,26940.4294,27082.115,27217.6991,27371.2281,27582.1647,27425.3757,27055.2963,27360.7385,27517.3681,27593.731,27469.3912,27335.2933,27273.2612,27211.0766,27183.0669,27093.4494
"",TRUE,50,"Bangladesh",1480344.3405,1499514.7365,1511944.5855,1536493.4025,1562242.6155,1586450.1267,1615829.4406,1642581.0064,1673860.9739,1707588.5495,1747078.3617,1793985.6055,1847530.4597,1903049.0891,1945487.4015,1988525.1268,2058577.6298,2143931.6593,2246359.1244,2378920.0927,2523981.54,2653249.1616,2766360.2522,2864002.465,2948090.9009,3023557.3969,3083844.2296,3138319.6795,3192051.7689,3241988.5388,3291309.3599,3343358.7538,3436731.3079,3560006.048,3707627.1663,3875025.4763,4054526.9365,4222249.6121,4396689.0978,4534651.3767,4674625.3469,4807338.9901,4930015.5491,5037605.6123,5159666.0884,5293845.3696,5433539.7906,5586220.0389,5745612.8644,5874922.8421,5987182.0772,6098174.7033,6185343.214,6243733.9891,6312282.3926,6395426.2098,6470761.3878,6529202.9196,6574589.7699,6616241.9472,6659487.1749
"",TRUE,51,"Armenia",73937.108,75659.2213,80138.0667,87376.802,94024.524,95685.7427,94039.488,89571.6967,81807.5427,71389.978,60584.464,53089.3627,51401.34,55506.918,63416.8267,72670.884,81024.8587,87656.7033,93297.152,98495.0547,108707.6173,115385.648,121727.1467,120350.4893,122276.484,124378.0973,128153.784,130543.85,130550.1773,128208.922,123804.608,117406.6128,110269.181,103610.4402,97346.71,91509.0828,87280.5558,84293.1544,82774.377,81461.0546,80342.7155,79610.0225,79188.564,77952.8117,78379.3368,79526.2352,81422.902,83176.7531,86106.5731,89513.6466,94136.6279,98631.0642,102401.499,105926.1933,107753.2913,108661.0042,109769.9554,110799.2287,110627.2139,107203.6658,101315.9892
"",TRUE,52,"Barbados",4758.2862,4605.3346,4468.992,4332.3932,4152.4518,3978.3366,3857.854,3787.2935,3796.9074,3922.4675,4133.3448,4470.0339,4849.175,5252.2647,5659.956,6013.9769,6401.294,6759.7155,7084.4864,7386.4329,7679.5428,8003.6372,8319.698,8605.0038,8825.7844,9009.309,9150.768,9253.19,9266.1532,9322.4043,9324.3964,9245.9707,9127.152,8968.6229,8720.4832,8474.2632,8324.1934,8295.89,8392.056,8470.1191,8506.9876,8457.2202,8276.012,8069.0076,7915.0569,7780.0263,7657.6148,7643.6774,7733.5542,7833.0617,7854.3214,7873.9863,7837.7447,7609.1156,7376.6476,7331.8682,7369.2962,7428.218,7530.8649,7577.655,7469.3785
"",TRUE,56,"Belgium",295472.988,287327.7363,279794.7257,273783.6341,273199.9727,271938.6917,267019.4867,257651.2347,250992.7686,248598.2643,249672.445,256681.5035,277065.9928,294084.7296,305276.8301,313082.3827,320680.7119,318736.2499,318948.1165,319501.485,322694.9454,326815.592,332315.329,336925.5978,342012.747,347218.8666,350237.7769,354143.5408,356351.7855,358842.7511,360786.1169,361471.6055,353476.8627,344460.7386,333377.5422,321947.4766,313493.1518,306866.9826,300772.3049,293340.1974,284293.0506,273609.4302,262072.6915,252781.464,246392.4934,242062.6941,239869.5759,237028.1955,233182.9592,228158.3432,222839.4419,216986.4604,212381.1212,208582.4099,206608.4998,205587.7031,205794.4508,206209.5534,206223.723,204811.4217,202065.3548
"",TRUE,60,"Bermuda",1333.8795,1342.0079,1344.4465,1348.5107,1360.7034,1376.1474,1399.72,1421.6668,1443.6136,1483.443,1534.6523,1596.0864,1645.5227,1688.7413,1718.6712,1750.5547,1778.8435,1803.5892,1829.5142,1850.3992,1889.4193,1948.5625,2023.6744,2090.246,2147.6531,2183.3132,2213.2148,2241.1474,2235.5057,2225.3903,2225.4189,2170.3654,2087.7904,2012.4753,1929.397,1858.4661,1834.5404,1796.1324,1760.1372,1725.1394,1674.7074,1609.1591,1581.5452,1542.1795,1499.942,1498.6323,1502.0031,1504.112,1530.5396,1560.2004,1554.7382,1492.3636,1425.2202,1336.3845,1243.2572,1140.504,1071.3661,1017.6246,964.2868,919.7293,898.9689
"",TRUE,64,"Bhutan",7414.6659,7668.6049,7931.392,8203.912,8476.4319,8748.067,9025.011,9304.6094,9595.7102,9906.2768,10245.1571,10603.5031,10968.9276,11316.656,11508.6586,11697.1221,11698.0069,11692.6981,11696.2373,11851.963,11996.1862,12264.2821,12373.9979,11319.3104,11300.7295,11378.5923,11656.4211,11941.3283,12253.6644,12652.7115,13051.7586,13455.2296,13868.4336,14279.8679,14684.2238,15084.1556,15469.3643,15862.5183,16234.5412,16584.6778,16934.069,17352.6054,17886.9173,18564.9656,19421.4116,20395.3205,21346.7386,22170.5452,22936.2192,23554.0614,24143.9823,24851.2061,25703.5675,26710.7035,27853.2392,28980.1292,29911.6785,30590.4857,30906.3483,30831.5557,30477.9274
"",TRUE,68,"Bolivia (Plurinational State of)",102421.9168,103826.2106,105308.0168,106901.144,108756.494,111044.759,113689.2512,116793.1062,120403.0651,124490.7205,128874.0572,133467.46,138032.362,142082.7879,144693.1675,146441.0004,148084.0289,149469.8946,151087.552,153836.4424,157153.5854,160380.8324,163910.9472,167684.5231,171535.095,175524.1232,179641.7788,183845.0154,188073.2945,191842.3757,195729.2967,199706.7385,204222.9228,208964.8111,214085.6935,219578.4359,225467.529,231874.0914,238506.226,245016.915,251821.7185,258742.585,265881.564,273206.9782,280461.1485,287565.9885,294710.539,301692.8841,308568.6074,315520.5612,323037.0388,331274.7261,340079.412,349858.1477,360181.041,370282.359,379843.0936,388456.9533,395660.7126,401597.261,406128.7296
"",TRUE,70,"Bosnia and Herzegovina",119330.1557,121399.4501,123756.9918,125869.3965,126939.5463,125911.6615,123013.9731,117400.3358,110298.1252,103083.4897,97529.0234,94595.8324,95460.5743,99562.8152,105987.0952,112711.4567,119481.4644,125273.46,130761.9929,135641.9098,140756.8201,144229.3125,146452.4515,131587.0057,125065.5162,118079.957,122145.85,128621.6933,131081.5163,130598.0047,129691.8431,127360.5057,124740.921,121898.1771,118957.3784,114665.7903,112832.3346,111897.8459,111808.9404,111756.2342,111862.8686,111496.7411,109911.5043,106578.4421,105077.3717,103508.4443,102100.903,100408.8938,99049.7559,98007.5173,97088.628,95255.8809,93187.5082,92325.0253,91353.907,89547.5477,88118.8163,86577.1456,83824.42,79621.0878,77007.4823
