iso.country,groupname,iso.group
4,South Asia,
8,Europe and Central Asia,
12,Middle East and North Africa,
20,Europe and Central Asia,
24,Sub-Saharan Africa,
28,Latin America and Caribbean,
31,Europe and Central Asia,
32,Latin America and Caribbean,
36,East Asia and Pacific,
40,Europe and Central Asia,
44,Latin America and Caribbean,
48,Middle East and North Africa,
50,South Asia,
51,Europe and Central Asia,
52,Latin America and Caribbean,
56,Europe and Central Asia,
64,South Asia,
68,Latin America and Caribbean,
70,Europe and Central Asia,
72,Sub-Saharan Africa,
76,Latin America and Caribbean,
84,Latin America and Caribbean,
90,East Asia and Pacific,
92,Latin America and Caribbean,
96,East Asia and Pacific,
100,Europe and Central Asia,
104,East Asia and Pacific,
108,Sub-Saharan Africa,
112,Europe and Central Asia,
116,East Asia and Pacific,
120,Sub-Saharan Africa,
124,North America,
132,Sub-Saharan Africa,
140,Sub-Saharan Africa,
144,South Asia,
148,Sub-Saharan Africa,
152,Latin America and Caribbean,
156,East Asia and Pacific,
170,Latin America and Caribbean,
174,Sub-Saharan Africa,
178,Sub-Saharan Africa,
180,Sub-Saharan Africa,
184,East Asia and Pacific,
188,Latin America and Caribbean,
191,Europe and Central Asia,
192,Latin America and Caribbean,
196,Europe and Central Asia,
203,Europe and Central Asia,
204,Sub-Saharan Africa,
208,Europe and Central Asia,
212,Latin America and Caribbean,
214,Latin America and Caribbean,
218,Latin America and Caribbean,
222,Latin America and Caribbean,
226,Sub-Saharan Africa,
231,Sub-Saharan Africa,
232,Sub-Saharan Africa,
233,Europe and Central Asia,
242,East Asia and Pacific,
246,Europe and Central Asia,
250,Europe and Central Asia,
262,Sub-Saharan Africa,
266,Sub-Saharan Africa,
268,Europe and Central Asia,
270,Sub-Saharan Africa,
275,Middle East and North Africa,
276,Europe and Central Asia,
288,Sub-Saharan Africa,
296,East Asia and Pacific,
300,Europe and Central Asia,
308,Latin America and Caribbean,
320,Latin America and Caribbean,
324,Sub-Saharan Africa,
328,Latin America and Caribbean,
332,Latin America and Caribbean,
336,Europe and Central Asia,
340,Latin America and Caribbean,
348,Europe and Central Asia,
352,Europe and Central Asia,
356,South Asia,
360,East Asia and Pacific,
364,Middle East and North Africa,
368,Middle East and North Africa,
372,Europe and Central Asia,
376,Middle East and North Africa,
380,Europe and Central Asia,
384,Sub-Saharan Africa,
388,Latin America and Caribbean,
392,East Asia and Pacific,
398,Europe and Central Asia,
400,Middle East and North Africa,
404,Sub-Saharan Africa,
408,East Asia and Pacific,
410,East Asia and Pacific,
414,Middle East and North Africa,
417,Europe and Central Asia,
418,East Asia and Pacific,
422,Middle East and North Africa,
426,Sub-Saharan Africa,
428,Europe and Central Asia,
430,Sub-Saharan Africa,
434,Middle East and North Africa,
438,Europe and Central Asia,
440,Europe and Central Asia,
442,Europe and Central Asia,
450,Sub-Saharan Africa,
454,Sub-Saharan Africa,
458,East Asia and Pacific,
462,South Asia,
466,Sub-Saharan Africa,
470,Europe and Central Asia,
478,Sub-Saharan Africa,
480,Sub-Saharan Africa,
484,Latin America and Caribbean,
492,Europe and Central Asia,
496,East Asia and Pacific,
498,Europe and Central Asia,
499,Europe and Central Asia,
500,Latin America and Caribbean,
504,Middle East and North Africa,
508,Sub-Saharan Africa,
512,Middle East and North Africa,
516,Sub-Saharan Africa,
520,East Asia and Pacific,
524,South Asia,
528,Europe and Central Asia,
548,East Asia and Pacific,
554,East Asia and Pacific,
558,Latin America and Caribbean,
562,Sub-Saharan Africa,
566,Sub-Saharan Africa,
570,East Asia and Pacific,
578,Europe and Central Asia,
583,East Asia and Pacific,
584,East Asia and Pacific,
585,East Asia and Pacific,
586,South Asia,
591,Latin America and Caribbean,
598,East Asia and Pacific,
600,Latin America and Caribbean,
604,Latin America and Caribbean,
608,East Asia and Pacific,
616,Europe and Central Asia,
620,Europe and Central Asia,
624,Sub-Saharan Africa,
626,East Asia and Pacific,
634,Middle East and North Africa,
642,Europe and Central Asia,
643,Europe and Central Asia,
646,Sub-Saharan Africa,
659,Latin America and Caribbean,
660,Latin America and Caribbean,
662,Latin America and Caribbean,
670,Latin America and Caribbean,
674,Europe and Central Asia,
678,Sub-Saharan Africa,
682,Middle East and North Africa,
686,Sub-Saharan Africa,
688,Europe and Central Asia,
690,Sub-Saharan Africa,
694,Sub-Saharan Africa,
702,East Asia and Pacific,
703,Europe and Central Asia,
704,East Asia and Pacific,
705,Europe and Central Asia,
706,Sub-Saharan Africa,
710,Sub-Saharan Africa,
716,Sub-Saharan Africa,
724,Europe and Central Asia,
728,Sub-Saharan Africa,
729,Sub-Saharan Africa,
740,Latin America and Caribbean,
748,Sub-Saharan Africa,
752,Europe and Central Asia,
756,Europe and Central Asia,
760,Middle East and North Africa,
762,Europe and Central Asia,
764,East Asia and Pacific,
768,Sub-Saharan Africa,
772,East Asia and Pacific,
776,East Asia and Pacific,
780,Latin America and Caribbean,
784,Middle East and North Africa,
788,Middle East and North Africa,
792,Europe and Central Asia,
795,Europe and Central Asia,
796,Latin America and Caribbean,
798,East Asia and Pacific,
800,Sub-Saharan Africa,
804,Europe and Central Asia,
807,Europe and Central Asia,
818,Middle East and North Africa,
826,Europe and Central Asia,
834,Sub-Saharan Africa,
840,North America,
854,Sub-Saharan Africa,
858,Latin America and Caribbean,
860,Europe and Central Asia,
862,Latin America and Caribbean,
882,East Asia and Pacific,
887,Middle East and North Africa,
894,Sub-Saharan Africa,
