"Age..range","Catalog.ID","Note.on.data","Note.on.methods","Note.on.country","Note.on.population","Contraceptive.use.ANY","Contraceptive.use.MODERN","Contraceptive.use.TRADITIONAL","Unmet","GEO.biases..unknown.direction.","Non.pregnant.and.other.positive.biases","Negative.bias","Population.type","age.cat.bias","Modern.method.bias","Folk.method.positive.bias","Absence.of.probing.questions.bias...1","ISO.code","Country","Start.year_Year","End.year_Year","Start.year","End.year","Source.name","Data.series.type","EXCLUDE1isyes","SurveyID","SE.logR.modern.nouse","SE.logR.trad.nouse","SE.logR.unmet.noneed","SE.modern","SE.trad","SE.unmet","In.union"
"30-34",1769,NA,NA,NA,NA,53.791135998269,22.7503416335171,31.0407943647519,29.5507235649989,NA,NA,NA,"MW","0",NA,NA,0,68,"Bolivia (Plurinational State of)",1993,1994,1993.83287671233,1994.41095890411,"1994 DHS","DHS",0,"bo33",0.0989261926264675,0.0824066107222975,0.104925639504726,0.00795953259415416,0.0107718751061741,0.0110881403474601,1
"30-34",4492,NA,NA,NA,NA,69.5074728016142,40.7577301634362,28.749742638178,20.182562227995,NA,NA,NA,"MW","0",NA,NA,0,68,"Bolivia (Plurinational State of)",2008,2008,2008.08469945355,2008.49453551913,"2008 DHS","DHS",0,"bo51",0.0688723897959646,0.0768992508981984,0.102628973833708,0.0148042969458017,0.0139892437022069,0.0113579641491814,1
"30-34",4492,NA,NA,NA,NA,23.3107280371137,15.8612386158328,7.44948942128092,6.36871951450364,NA,NA,NA,"UW","0",NA,NA,0,68,"Bolivia (Plurinational State of)",2008,2008,2008.08469945355,2008.49453551913,"2008 DHS","DHS",0,"bo51",0.152042463618571,0.209890474584306,0.300243742632884,0.0200471648528341,0.0142962626156944,0.017837352713538,0
"30-34",4990,NA,NA,NA,NA,48.44965441,14.29658104,34.15307336,12.1,NA,NA,NA,"MW","0",NA,NA,0,70,"Bosnia and Herzegovina",2011,2012,2011.83287671233,2012.24590163934,"2011-2012 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",1868,NA,NA,NA,NA,84.3435713181172,78.5536227492268,5.78994856889034,8.44725699577152,NA,NA,NA,"MW","0",NA,NA,0,76,"Brazil",1996,1996,1996.16393442623,1996.49453551913,"1996 DHS","DHS",0,"br31",0.0809033088360983,0.154451771086732,0.155797835606363,0.00478836067767017,0.00236587137483219,0.00412196351229163,1
"30-34",1868,NA,NA,NA,NA,38.3368048649339,35.8339565541483,2.50284831078565,6.04266446939905,NA,NA,NA,"UW","0",NA,NA,0,76,"Brazil",1996,1996,1996.16393442623,1996.49453551913,"1996 DHS","DHS",0,"br31",0.121940640035758,0.392879436674748,0.249658138387082,0.0110101824423869,0.00327211420006175,0.00560146527252818,0
"30-34",4988,NA,NA,NA,NA,58.08914947,54.94921547,3.139934005,15.7,NA,NA,NA,"MW","0",NA,NA,1,84,"Belize",2011,2011,2011.44657534247,2011.59178082192,"2011 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",5761,NA,NA,NA,NA,53.58070707,50.76753733,2.813169741,20.32752854,NA,NA,NA,"MW","0",NA,NA,0,84,"Belize",2015,2016,2015.79726027397,2016.08196721311,"2015-2016 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",5761,NA,NA,NA,NA,29.69192125,28.45568863,1.236232621,7.031433224,NA,NA,NA,"UW","0",NA,NA,0,84,"Belize",2015,2016,2015.79726027397,2016.08196721311,"2015-2016 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,0
"30-34",2953,NA,"Traditional methods include folk methods.",NA,NA,37,29.6,7.6,15.1,NA,NA,NA,"MW","0",NA,"Including folk methods.",0,90,"Solomon Islands",2006,2007,2006.7698630137,2007.32602739726,"2006-2007 DHS","DHS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",7516,NA,NA,NA,NA,31.7,27.2,4.5,38.3,NA,NA,NA,"MW","0",NA,NA,0,90,"Solomon Islands",2015,2015,2015.2602739726,2015.71232876712,"2015 DHS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",6084,NA,NA,NA,NA,57.7647603066959,57.0855763009883,0.679184005707583,14.7280987792389,NA,NA,NA,"MW","0",NA,NA,0,104,"Myanmar",2015,2016,2015.91506849315,2016.57923497268,"2015-2016 DHS","DHS",0,"mm71",0.0683178955332265,0.360585010771288,0.0942007704687102,0.00768087989534684,0.0022199354888623,0.00493527160035255,1
"30-34",6084,NA,NA,NA,NA,0.241730673476294,0.241730673476294,0,0.473284083301845,NA,NA,NA,"UW","0",NA,NA,0,104,"Myanmar",2015,2016,2015.91506849315,2016.57923497268,"2015-2016 DHS","DHS",0,"mm71",0.580484411131301,NA,0.740490090977204,0.000967563418541371,0,0.000921972634454982,0
"30-34",4950,NA,NA,NA,NA,24.605931786062,20.3117219261342,4.29420985992777,35.0784709942422,NA,NA,NA,"MW","0",NA,NA,0,108,"Burundi",2010,2011,2010.58082191781,2011.08219178082,"2010 DHS","DHS",0,"bu61",0.103460013188688,0.186279018010289,0.0861387895225342,0.00725577686772792,0.00228558971273968,0.00455777461970728,1
"30-34",6056,NA,NA,NA,NA,29.504433343736,23.0852742168813,6.41915912685467,33.6669849613239,NA,NA,NA,"MW","0",NA,NA,0,108,"Burundi",2016,2017,2016.74863387978,2017.15890410959,"2016 DHS","DHS",0,"bu71",0.0621915127222537,0.101618485470544,0.0561345113174733,0.00866912041639839,0.00421399473586316,0.00845511057826628,1
"30-34",6056,NA,NA,NA,NA,9.50373918317898,9.24798317938518,0.255756003793805,8.80585009466718,NA,NA,NA,"UW","0",NA,NA,0,108,"Burundi",2016,2017,2016.74863387978,2017.15890410959,"2016 DHS","DHS",0,"bu71",0.212406346064482,0.997515495575185,0.199131191886219,0.00744806200461761,0.000334806332735516,0.00639464529029382,0
"30-34",4987,NA,NA,NA,NA,64.86737937,54.79330935,10.07407002,8.3,NA,NA,NA,"MW","0",NA,NA,1,112,"Belarus",2012,2012,2012.23770491803,2012.5,"2012 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",1825,NA,NA,NA,NA,30.83556284335,23.7694727478674,7.06609009548263,35.5936865700441,NA,NA,NA,"MW","0",NA,NA,0,116,"Cambodia",2000,2000,2000.08469945355,2000.57923497268,"2000 DHS","DHS",0,"kh42",0.07233372761338,0.122586609071362,0.0643005627874765,0.0126755748697903,0.00779198803063915,0.013536352804612,1
"30-34",5566,NA,NA,NA,NA,67.9853886895055,47.5047358199267,20.4806528695788,9.74941697129607,NA,NA,NA,"MW","0",NA,NA,0,116,"Cambodia",2014,2014,2014.41369863014,2014.99726027397,"2014 DHS","DHS",0,"kh73",0.0612635599854584,0.0709205235925065,0.0991953875346129,0.0115717813843001,0.00883031148674958,0.00709396201870589,1
"30-34",5566,NA,NA,NA,NA,2.17110419521607,1.7527723060509,0.418331889165164,0.471825106758091,NA,NA,NA,"UW","0",NA,NA,0,116,"Cambodia",2014,2014,2014.41369863014,2014.99726027397,"2014 DHS","DHS",0,"kh73",0.506918744433274,1.00192519790698,1.00543639868155,0.00187575348673218,0.00412919207999366,0.00214881406836563,0
"30-34",1798,NA,NA,NA,NA,13.56201443323,3.41563177306359,10.1463826601664,23.0455150283604,NA,NA,NA,"MW","0",NA,NA,0,120,"Cameroon",1991,1991,1991.24657534247,1991.74520547945,"1991 DHS","DHS",0,"cm22",0.222797054240945,0.166027298144706,0.129472137650921,0.00689755761784522,0.0139274552451228,0.0203912872245261,1
"30-34",7684,NA,NA,NA,NA,22.4876148178917,18.2033344516062,4.28428036628548,23.4092137459922,NA,NA,NA,"MW","0",NA,NA,0,120,"Cameroon",2018,2018,2018.41369863014,2018.99726027397,"2018 DHS","DHS",0,"cm71",0.0922556709256421,0.148027626879091,0.0819043717581021,0.00765597594896686,0.00228754761918922,0.00422789429682338,1
"30-34",7684,NA,NA,NA,NA,28.2922452161053,24.6486263112709,3.64361890483434,9.64016187783526,NA,NA,NA,"UW","0",NA,NA,0,120,"Cameroon",2018,2018,2018.41369863014,2018.99726027397,"2018 DHS","DHS",0,"cm71",0.136712500586423,0.272431665629519,0.178186239403761,0.0107454702475449,0.00255488831984176,0.00731240197600294,0
"30-34",2942,NA,NA,NA,NA,67.2,62.4,4.9,17.2,NA,NA,NA,"MW","0",NA,NA,0,132,"Cabo Verde",2005,2005,2005.49589041096,2005.99726027397,"2005 DHS-RHS","DHS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",1732,NA,NA,NA,NA,16.8579681375617,3.82954538949871,13.028422748063,18.2855291790539,NA,NA,NA,"MW","0",NA,NA,0,140,"Central African Republic",1994,1995,1994.66575342466,1995.24383561644,"1994-1995 DHS","DHS",0,"cf33",0.194378425159211,0.111992331389828,0.111585064170301,0.00592761656173345,0.0114931425341234,0.0149736947983032,1
"30-34",7500,NA,NA,NA,NA,19.6,16.6,3.1,41.1,NA,NA,NA,"MW","0",NA,NA,1,140,"Central African Republic",2019,2019,2019,2019,"2019 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",7500,NA,NA,NA,NA,25.5774498953147,19.8387669003844,5.73868299493027,24.5733246740869,NA,NA,NA,"UW","0",NA,NA,1,140,"Central African Republic",2019,2019,2019,2019,"2019 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,0
"30-34",4553,NA,"Traditional methods include folk methods.","Excluding the Northern Province.",NA,69.8,56.6,13.3,6.7,"Excluding the Northern Province.",NA,NA,"MW","0",NA,"Including folk methods.",0,144,"Sri Lanka",2006,2007,2006.66575342466,2007.8301369863,"2006-2007 DHS","DHS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",6094,NA,NA,NA,NA,63.6,54,9.7,8.7,NA,NA,NA,"MW","0",NA,NA,0,144,"Sri Lanka",2016,2016,2016.36612021858,2016.87158469945,"2016 DHS","DHS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",1675,NA,NA,NA,NA,4.49186464783922,1.43416902991034,3.05769561792888,17.6223239580814,NA,NA,NA,"MW","0",NA,NA,0,148,"Chad",1996,1997,1996.91530054645,1997.57808219178,"1996-1997 DHS","DHS",0,"td32",0.238971293072745,0.217967241118429,0.100031214179265,0.00338305327793023,0.00643652187840775,0.0141888478794145,1
"30-34",5564,NA,NA,NA,NA,8.25455578204517,7.45642557201962,0.798130210025546,25.0491505059081,NA,NA,NA,"MW","0",NA,NA,0,148,"Chad",2014,2015,2014.74794520548,2015.32602739726,"2014-2015 DHS","DHS",0,"td71",0.151734175830941,0.274299760954243,0.0662628921465914,0.00502586199020761,0.000820819170633208,0.00415708242526556,1
"30-34",5564,NA,NA,NA,NA,11.280420112083,10.9746265930077,0.305793519075368,7.20632727720119,NA,NA,NA,"UW","0",NA,NA,0,148,"Chad",2014,2015,2014.74794520548,2015.32602739726,"2014-2015 DHS","DHS",0,"td71",0.25214331418182,1.00568166065272,0.267258656914519,0.0151135726651199,0.00227541712889688,0.0150759179436862,0
"30-34",1860,NA,NA,NA,NA,74.6910768100883,62.9894159556782,11.7016608544101,12.3250446186504,NA,NA,NA,"MW","0",NA,NA,0,170,"Colombia",1990,1990,1990.32876712329,1990.66301369863,"1990 DHS","DHS",0,"co22",0.0963635160227687,0.138607431868247,0.17751033323477,0.00658164750219955,0.00332272799366636,0.00395756604253843,1
"30-34",5788,NA,NA,NA,NA,84.9451013568885,79.6125730911536,5.33252826573494,4.88107636465231,NA,NA,NA,"MW","0",NA,NA,0,170,"Colombia",2015,2016,2015.08493150685,2016.24590163934,"2015 DHS","DHS",0,"co72",0.068836992032005,0.209047600864143,0.125780538387927,0.00204187481442015,0.00128564336774431,0.00138345305698006,1
"30-34",5788,NA,NA,NA,NA,60.3019027506745,58.6535117034012,1.64839104727332,5.44550824818823,NA,NA,NA,"UW","0",NA,NA,0,170,"Colombia",2015,2016,2015.08493150685,2016.24590163934,"2015 DHS","DHS",0,"co72",0.07784294615212,0.26333114739057,0.209622490006251,0.00579917656387019,0.000902691619944692,0.00180123198034725,0
