"Age..range","Catalog.ID","Note.on.data","Note.on.methods","Note.on.country","Note.on.population","Contraceptive.use.ANY","Contraceptive.use.MODERN","Contraceptive.use.TRADITIONAL","Unmet","GEO.biases..unknown.direction.","Non.pregnant.and.other.positive.biases","Negative.bias","Population.type","age.cat.bias","Modern.method.bias","Folk.method.positive.bias","Absence.of.probing.questions.bias...1","ISO.code","Country","Start.year_Year","End.year_Year","Start.year","End.year","Source.name","Data.series.type","EXCLUDE1isyes","SurveyID","SE.logR.modern.nouse","SE.logR.trad.nouse","SE.logR.unmet.noneed","SE.modern","SE.trad","SE.unmet","In.union"
"35-39",5689,NA,NA,NA,NA,29.0156369256155,25.46130710836,3.55432981725559,26.1621921979656,NA,NA,NA,"MW","0",NA,NA,0,4,"Afghanistan",2015,2016,2015.41369863014,2016.16120218579,"2015 DHS","DHS",0,"af71",0.0590708733298354,0.137278628578718,0.0733581199153584,0.00978984339911462,0.00382161105969994,0.00929217010088787,1
"35-39",4483,NA,NA,NA,NA,75.412476398647,10.4880123450119,64.9244640536351,11.8454730323699,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2008,2009,2008.74863387978,2009.32602739726,"2008-2009 DHS","DHS",0,"al51",0.142583239781469,0.104893085370797,0.156050432625935,0.00502595066600746,0.0104899819568009,0.0069115576117088,1
"35-39",7474,NA,NA,NA,NA,51.6790629831683,5.71935163013989,45.9597113530284,13.2527158128282,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2017,2018,2017.69315068493,2018.13698630137,"2017-2018 DHS","DHS",0,"al71",0.160855294055047,0.0807931811880207,0.118906072169016,0.00171808377853847,0.00962840567073155,0.00464768415837326,1
"35-39",7474,NA,NA,NA,NA,8.10873736783058,4.46265968194938,3.6460776858812,3.81669934435908,NA,NA,NA,"UW","0",NA,NA,0,8,"Albania",2017,2018,2017.69315068493,2018.13698630137,"2017-2018 DHS","DHS",0,"al71",0.685858394845008,0.656744987154448,0.659778754947141,0.0031735350638383,0.00259283839823698,0.00271417272673619,0
"35-39",1913,NA,NA,NA,NA,69.1,60.8,8.3,10.5,NA,NA,NA,"MW","0",NA,NA,1,12,"Algeria",2006,2006,2006.22739726027,2006.43835616438,"2006 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"35-39",4984,NA,NA,NA,NA,67.0312685,55.87327236,11.15799614,7.1,NA,NA,NA,"MW","0",NA,NA,1,12,"Algeria",2012,2013,2012.80327868852,2013.08219178082,"2012-2013 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"35-39",5805,NA,NA,NA,NA,13.4052844904496,12.0940963646713,1.31118812577831,41.5336227483087,NA,NA,NA,"MW","0",NA,NA,0,24,"Angola",2015,2016,2015.83287671233,2016.16120218579,"2015-2016 DHS","DHS",0,"ao71",0.171222623719489,0.345531546091251,0.0800009828267927,0.00842758183967666,0.00082945178308164,0.00822643710788611,1
"35-39",5805,NA,NA,NA,NA,7.05134244288461,7.05134244288461,0,16.0043333494637,NA,NA,NA,"UW","0",NA,NA,0,24,"Angola",2015,2016,2015.83287671233,2016.16120218579,"2015-2016 DHS","DHS",0,"ao71",0.285264663417064,NA,0.188213775281335,0.0047204412728039,0,0.0101893127259115,0
"35-39",179,NA,NA,NA,NA,64.6486620358158,18.1411801246292,46.5074819111866,12.6671506244684,NA,NA,NA,"MW","0",NA,NA,0,31,"Azerbaijan",2006,2006,2006.49589041096,2006.91232876712,"2006 DHS","DHS",0,"az52",0.131831214330665,0.0900284375237723,0.149159474315478,0.0154594165150693,0.0174007216687783,0.012236454094378,1
"35-39",1814,NA,NA,NA,NA,58.519099332245,46.6969176967244,11.8221816355207,22.7280461163163,NA,NA,NA,"MW","0",NA,NA,0,50,"Bangladesh",1993,1994,1993.83287671233,1994.24383561644,"1993-1994 DHS","DHS",0,"bd31",0.0766341027569712,0.105285737887009,0.108260859983913,0.0165073282297118,0.0084991336842924,0.0138553892568959,1
