"Country letter code","In union","ISO code","Country","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"",TRUE,44,"Bahamas",3476.3352,3478.6276,3479.1804,3497.8283,3552.0196,3654.6263,3791.4578,3943.057,4098.1923,4250.6382,4381.432,4494.5563,4658.4606,4812.4568,4927.7557,4978.9435,4971.981,4917.5401,4811.8899,4679.7195,4502.5346,4422.6932,4335.7195,4232.4512,4121.6949,4033.0687,3879.1891,3731.1706,3585.8071,3412.3308,3250.1341,3183.48,3109.7343,3062.3857,3046.8227,3000.75,2925.942,2846.2744,2745.1402,2623.1396,2536.7514,2534.7911,2539.1123,2575.5744,2622.435,2634.1971,2628.2686,2613.4626,2580.8363,2537.8175,2502.9592,2464.8003,2443.4719,2432.3259,2425.087,2420.1824,2414.4899,2420.0331,2442.8813,2473.2525,2506.4507
"",TRUE,48,"Bahrain",5159.8304,5365.6336,5662.9513,6070.6574,6536.8028,7033.0085,7547.4512,8040.6548,8481.5638,8861.5254,9169.1527,9397.6613,9670.2409,9961.245,10221.3204,10437.2397,10595.4763,10682.8945,10659.0868,10504.9053,10230.7197,9834.8009,9534.0738,9324.4164,9242.8543,9259.2246,9337.2163,9451.1219,9568.5679,9652.6963,9685.9338,9673.5356,9956.9555,10141.688,10721.223,11850.1803,12992.1442,14113.8923,15062.3964,15649.1153,15737.183,14563.1748,13919.7882,13922.2217,14400.6419,14972.1809,15350.9938,15507.932,15284.6005,14592.4939,13962.8848,12022.9888,11301.9127,11341.4949,11748.4717,12492.2855,13313.0346,14141.9851,14902.84,15529.0766,15964.5863
"",TRUE,50,"Bangladesh",2380868.1952,2406930.4892,2432433.9734,2485516.2554,2575886.3068,2672976.1715,2808824.569,2939143.7644,3054138.3832,3155586.73,3241205.3891,3311918.929,3369176.85,3410133.0669,3446960.1808,3479780.155,3511303.7215,3559876.0324,3637440.056,3739336.5085,3858042.5063,3994274.3274,4122517.0864,4277985.2066,4414382.4837,4537186.9256,4654258.9944,4761233.004,4854936.0977,4963336.7744,5085464.2631,5211006.1064,5325263.2622,5439335.1305,5523813.7543,5593329.8364,5641490.3489,5644422.1464,5640491.0853,5619601.3776,5650041.8771,5693185.8633,5731231.6609,5766408.5593,5803487.5323,5842415.6581,5870994.1138,5929195.2919,6013105.2518,6090893.2878,6145612.6921,6224769.3004,6285444.7004,6300837.1294,6297895.4742,6268789.9447,6191379.6528,6080143.0756,5942773.7012,5777319.6884,5586044.3871
"",TRUE,51,"Armenia",50857.508,57368.4709,62946.1907,67457.9061,71833.112,76869.3055,81985.4594,87728.5171,93787.6143,100326.7772,104333.1597,106701.5842,107607.6144,106500.7892,103607.5222,99445.0275,94726.9544,89897.0263,85332.819,80803.7295,82505.9213,79883.7273,78152.5143,72783.6863,69327.4504,66447.2748,65308.0116,64320.5108,62812.6997,62343.4145,62293.569,62195.9471,62125.92,62886.495,63980.235,65712.5033,67074.3757,67940.2031,68474.25,67999.9132,66986.5403,66063.114,65133.9735,63565.9538,60336.1237,55926.6716,50276.883,44814.2597,39636.7273,35784.0132,32725.8536,30378.743,28400.5254,26865.0495,25913.769,25428.8564,25380.2241,24876.8665,24772.4238,24761.0523,25146.9331
"",TRUE,52,"Barbados",3040.2504,3183.032,3343.7149,3501.6197,3656.7629,3846.5924,3997.1187,4146.5568,4290.0305,4416.8972,4521.1791,4577.0291,4587.8179,4548.2468,4464.8817,4346.745,4203.0577,4047.0171,3886.9289,3731.6119,3594.1303,3491.0961,3451.5879,3450.8615,3452.8231,3433.5332,3379.167,3289.7964,3152.7603,3047.1447,2941.3063,2835.855,2805.2212,2827.7466,2872.2865,2907.2582,2936.2977,2931.8827,2852.2827,2756.8841,2722.1875,2725.8341,2737.152,2765.3186,2774.5008,2728.4122,2655.4273,2592.3225,2551.7028,2539.2852,2555.4062,2584.9993,2601.685,2596.0642,2579.7032,2555.9969,2514.9752,2466.9694,2449.6628,2466.8065,2441.7199
"",TRUE,56,"Belgium",211955.0976,214143.8153,209949.4655,207068.9226,204321.8386,203126.021,202376.5849,202121.4143,201438.4227,200837.2894,200073.5987,197948.7621,196267.7624,193330.0815,190432.6421,187055.3994,182957.1338,177137.2743,170818.3198,163234.1741,155606.2296,149461.8905,144306.2501,139376.2638,134016.9233,127862.1792,121118.7291,115015.697,110156.1001,106682.9161,104274.4002,102854.0533,102185.4771,100953.9139,99177.9286,97144.9728,94723.4822,92712.0677,91107.0829,90131.155,89331.6309,88907.6013,88480.6324,87852.5451,86496.3046,84514.2819,82224.3039,79982.5135,77932.7173,76263.6816,75250.9291,74605.9412,73826.0519,72413.5195,71436.0069,70933.977,70727.7208,71155.1472,72088.9146,73303.889,74360.7651
"",TRUE,60,"Bermuda",930.1043,901.2347,875.7122,876.1306,902.0715,945.1667,998.722,1046.4197,1076.1261,1086.5861,1071.1053,1026.9477,1002.7197,992.7386,993.1972,996.234,990.6609,969.7636,931.3546,878.5115,819.8467,765.8613,728.3822,710.9514,694.9925,672.9811,640.1955,604.4564,563.5511,524.7266,491.7268,477.4071,478.3573,487.2672,497.9409,498.191,484.3712,466.4197,444.8999,421.5281,397.8693,388.069,380.9644,368.4395,350.1675,329.5515,310.9721,301.3695,298.7646,303.8918,317.8978,328.7834,335.3389,335.2078,330.4139,319.8609,309.6239,305.3523,308.1727,314.5085,321.3501
"",TRUE,64,"Bhutan",7281.2946,7277.3185,7268.7984,7273.9104,7392.0561,7506.7937,7752.1732,8010.6168,8282.6927,8566.6967,8853.5407,9152.8809,9461.3093,9786.2098,10138.3748,10514.3961,10911.4337,11329.4876,11766.8537,12211.604,12673.9625,13080.6562,13318.6516,12304.7573,12402.4547,12591.6013,12998.8631,13415.2129,13848.035,14361.5143,14833.5289,15334.512,15871.2795,16456.3278,17103.8569,17818.411,17996.8393,18049.9586,18106.12,18184.5564,18241.3406,18145.8636,17878.4479,17428.4529,16781.0376,16004.1039,15171.1551,14306.2974,13596.394,12998.019,12521.6072,12164.4031,11905.6607,11701.2696,11500.9426,11258.3357,10946.9592,10563.1831,10117.3559,9653.9085,9230.2946
"",TRUE,68,"Bolivia (Plurinational State of)",110712.4011,112245.5859,113641.248,115233.5289,117658.6782,120514.6215,123323.067,125702.4622,128238.4497,131180.4649,134072.0947,136890.4,139624.17,142283.2113,144563.5417,146837.8898,149126.7956,151420.1146,153819.3694,156366.6257,158996.8301,161679.4434,164484.9738,167230.6673,169166.0822,171192.3617,173282.6217,175530.8442,177953.8182,180393.8692,182834.9933,185326.0914,188311.4571,191213.1428,194165.2503,197418.197,201066.7038,205076.6223,209509.146,214725.624,219809.592,224577.6,228800.736,232204.05,234879.141,236741.316,238023.45,239108.6316,239741.9564,240441.9296,241525.0164,242393.3096,242534.6829,242747.8114,242655.1674,241986.1317,241500.2618,241879.1655,242018.9844,241775.9908,241278.4828
"",TRUE,70,"Bosnia and Herzegovina",57195.5125,60603.8875,63512.74,66159.725,68400.3125,70615.57,72202.0475,73432.7875,73920.39,74306.6725,74520.86,74991.3275,75679.7075,76406.455,76686.575,76540.9275,75947.1625,74796.1375,73366.4825,71817.255,70148.0825,68674.1,67489.55,51365.1425,45564.945,41498.735,48449.2125,57153.42,62166.8975,64607.5175,66566.1225,67425.1075,68160.795,67911.5925,67013.1225,64231.665,62328.935,59563.0201,56445.0976,53585.9911,50881.2984,48419.7153,46168.6111,43520.7164,40506.9365,38445.15,37233.092,36382.9346,36094.719,35911.8597,34716.1263,32751.556,30529.8257,28934.3905,27849.2475,27229.5501,26832.1018,26551.8461,26439.643,26403.6653,26381.6422
