"iso.country","groupname","iso.group"
496,"Eastern and South-Eastern Asia",1832
478,"Sub-Saharan Africa",1834
480,"Sub-Saharan Africa",1834
466,"Sub-Saharan Africa",1834
498,"Europe and Northern America",1829
504,"Northern Africa and Western Asia",1833
508,"Sub-Saharan Africa",1834
512,"Northern Africa and Western Asia",1833
516,"Sub-Saharan Africa",1834
520,"Oceania (excluding Australia and New Zealand)",1835
524,"Central and Southern Asia",1831
498,"Europe, Northern America, Australia, and New Zealand",5502
499,"Europe and Northern America",1829
499,"Europe, Northern America, Australia, and New Zealand",5502
500,"Latin America and the Caribbean",1830
528,"Europe, Northern America, Australia, and New Zealand",5502
528,"Europe and Northern America",1829
531,"Latin America and the Caribbean",1830
534,"Latin America and the Caribbean",1830
535,"Latin America and the Caribbean",1830
540,"Oceania (excluding Australia and New Zealand)",1835
548,"Oceania (excluding Australia and New Zealand)",1835
554,"Australia/New Zealand",1836
554,"Europe, Northern America, Australia, and New Zealand",5502
558,"Latin America and the Caribbean",1830
562,"Sub-Saharan Africa",1834
566,"Sub-Saharan Africa",1834
570,"Oceania (excluding Australia and New Zealand)",1835
578,"Europe and Northern America",1829
578,"Europe, Northern America, Australia, and New Zealand",5502
580,"Oceania (excluding Australia and New Zealand)",1835
583,"Oceania (excluding Australia and New Zealand)",1835
584,"Oceania (excluding Australia and New Zealand)",1835
585,"Oceania (excluding Australia and New Zealand)",1835
586,"Central and Southern Asia",1831
591,"Latin America and the Caribbean",1830
598,"Oceania (excluding Australia and New Zealand)",1835
600,"Latin America and the Caribbean",1830
604,"Latin America and the Caribbean",1830
608,"Eastern and South-Eastern Asia",1832
616,"Europe and Northern America",1829
616,"Europe, Northern America, Australia, and New Zealand",5502
620,"Europe and Northern America",1829
620,"Europe, Northern America, Australia, and New Zealand",5502
624,"Sub-Saharan Africa",1834
630,"Latin America and the Caribbean",1830
634,"Northern Africa and Western Asia",1833
638,"Sub-Saharan Africa",1834
642,"Europe and Northern America",1829
642,"Europe, Northern America, Australia, and New Zealand",5502
643,"Europe, Northern America, Australia, and New Zealand",5502
643,"Europe and Northern America",1829
646,"Sub-Saharan Africa",1834
652,"Latin America and the Caribbean",1830
654,"Sub-Saharan Africa",1834
659,"Latin America and the Caribbean",1830
626,"Eastern and South-Eastern Asia",1832
533,"Latin America and the Caribbean",1830
663,"Latin America and the Caribbean",1830
666,"Europe and Northern America",1829
666,"Europe, Northern America, Australia, and New Zealand",5502
670,"Latin America and the Caribbean",1830
660,"Latin America and the Caribbean",1830
662,"Latin America and the Caribbean",1830
674,"Europe and Northern America",1829
674,"Europe, Northern America, Australia, and New Zealand",5502
678,"Sub-Saharan Africa",1834
682,"Northern Africa and Western Asia",1833
686,"Sub-Saharan Africa",1834
688,"Europe, Northern America, Australia, and New Zealand",5502
688,"Europe and Northern America",1829
690,"Sub-Saharan Africa",1834
703,"Europe and Northern America",1829
703,"Europe, Northern America, Australia, and New Zealand",5502
704,"Eastern and South-Eastern Asia",1832
705,"Europe and Northern America",1829
705,"Europe, Northern America, Australia, and New Zealand",5502
706,"Sub-Saharan Africa",1834
710,"Sub-Saharan Africa",1834
716,"Sub-Saharan Africa",1834
694,"Sub-Saharan Africa",1834
702,"Eastern and South-Eastern Asia",1832
724,"Europe, Northern America, Australia, and New Zealand",5502
724,"Europe and Northern America",1829
728,"Sub-Saharan Africa",1834
729,"Northern Africa and Western Asia",1833
732,"Northern Africa and Western Asia",1833
740,"Latin America and the Caribbean",1830
748,"Sub-Saharan Africa",1834
752,"Europe and Northern America",1829
752,"Europe, Northern America, Australia, and New Zealand",5502
756,"Europe and Northern America",1829
756,"Europe, Northern America, Australia, and New Zealand",5502
760,"Northern Africa and Western Asia",1833
762,"Central and Southern Asia",1831
764,"Eastern and South-Eastern Asia",1832
768,"Sub-Saharan Africa",1834
772,"Oceania (excluding Australia and New Zealand)",1835
776,"Oceania (excluding Australia and New Zealand)",1835
780,"Latin America and the Caribbean",1830
784,"Northern Africa and Western Asia",1833
788,"Northern Africa and Western Asia",1833
792,"Northern Africa and Western Asia",1833
795,"Central and Southern Asia",1831
798,"Oceania (excluding Australia and New Zealand)",1835
800,"Sub-Saharan Africa",1834
804,"Europe, Northern America, Australia, and New Zealand",5502
804,"Europe and Northern America",1829
807,"Europe and Northern America",1829
807,"Europe, Northern America, Australia, and New Zealand",5502
818,"Northern Africa and Western Asia",1833
826,"Europe and Northern America",1829
826,"Europe, Northern America, Australia, and New Zealand",5502
831,"Europe, Northern America, Australia, and New Zealand",5502
831,"Europe and Northern America",1829
832,"Europe and Northern America",1829
832,"Europe, Northern America, Australia, and New Zealand",5502
833,"Europe and Northern America",1829
833,"Europe, Northern America, Australia, and New Zealand",5502
834,"Sub-Saharan Africa",1834
840,"Europe and Northern America",1829
840,"Europe, Northern America, Australia, and New Zealand",5502
850,"Latin America and the Caribbean",1830
796,"Latin America and the Caribbean",1830
854,"Sub-Saharan Africa",1834
858,"Latin America and the Caribbean",1830
860,"Central and Southern Asia",1831
862,"Latin America and the Caribbean",1830
876,"Oceania (excluding Australia and New Zealand)",1835
882,"Oceania (excluding Australia and New Zealand)",1835
887,"Northern Africa and Western Asia",1833
894,"Sub-Saharan Africa",1834
