"Age..range","Catalog.ID","Note.on.data","Note.on.methods","Note.on.country","Note.on.population","Contraceptive.use.ANY","Contraceptive.use.MODERN","Contraceptive.use.TRADITIONAL","Unmet","GEO.biases..unknown.direction.","Non.pregnant.and.other.positive.biases","Negative.bias","Population.type","age.cat.bias","Modern.method.bias","Folk.method.positive.bias","Absence.of.probing.questions.bias...1","ISO.code","Country","Start.year_Year","End.year_Year","Start.year","End.year","Source.name","Data.series.type","EXCLUDE1isyes","SurveyID","SE.logR.modern.nouse","SE.logR.trad.nouse","SE.logR.unmet.noneed","SE.modern","SE.trad","SE.unmet","In.union"
"40-44",5689,NA,NA,NA,NA,28.4460288284291,25.2686857714271,3.177343057002,18.5660070352275,NA,NA,NA,"MW","0",NA,NA,0,4,"Afghanistan",2015,2016,2015.41369863014,2016.16120218579,"2015 DHS","DHS",0,"af71",0.0724310572795713,0.189845836905075,0.0730886811344881,0.0122723247542597,0.00503591451578191,0.00685624672620073,1
"40-44",4483,NA,NA,NA,NA,76.1202548370046,10.0179237927653,66.1023310442393,11.8859649753443,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2008,2009,2008.74863387978,2009.32602739726,"2008-2009 DHS","DHS",0,"al51",0.133049028379796,0.0888592427054336,0.134014405093549,0.00617946343808573,0.0108937217015064,0.00575512075091574,1
"40-44",7474,NA,NA,NA,NA,52.0951652434178,3.51492169030571,48.5802435531121,7.63522102292193,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2017,2018,2017.69315068493,2018.13698630137,"2017-2018 DHS","DHS",0,"al71",0.187038534474143,0.1105198740968,0.140967356924118,0.00116881696780507,0.0117351370764533,0.00466237863585217,1
"40-44",7474,NA,NA,NA,NA,0,0,0,11.0605417477904,NA,NA,NA,"UW","0",NA,NA,0,8,"Albania",2017,2018,2017.69315068493,2018.13698630137,"2017-2018 DHS","DHS",0,NA,NA,NA,NA,NA,NA,NA,0
"40-44",1913,NA,NA,NA,NA,68.9,58.6,10.3,10.8,NA,NA,NA,"MW","0",NA,NA,1,12,"Algeria",2006,2006,2006.22739726027,2006.43835616438,"2006 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"40-44",4984,NA,NA,NA,NA,63.53035963,52.7973164,10.73304323,5.7,NA,NA,NA,"MW","0",NA,NA,1,12,"Algeria",2012,2013,2012.80327868852,2013.08219178082,"2012-2013 MICS","MICS",0,"agwm4",0.0225418230770554,0.0534985778494923,NA,0.00582065306636162,0.00446647965338629,0,1
"40-44",5805,NA,NA,NA,NA,11.1523810292774,9.89016990723451,1.26221112204292,35.9967771468766,NA,NA,NA,"MW","0",NA,NA,0,24,"Angola",2015,2016,2015.83287671233,2016.16120218579,"2015-2016 DHS","DHS",0,"ao71",0.16262636553749,0.518614067990872,0.0941977575280356,0.00891661116558775,0.00108332849561758,0.0130095043784945,1
"40-44",5805,NA,NA,NA,NA,3.08154834943358,3.08154834943358,0,8.14992755879335,NA,NA,NA,"UW","0",NA,NA,0,24,"Angola",2015,2016,2015.83287671233,2016.16120218579,"2015-2016 DHS","DHS",0,"ao71",0.484635744067843,NA,0.24577339174815,0.00335021821876481,0,0.00761383448489471,0
"40-44",179,NA,NA,NA,NA,53.7527279199815,11.7381649030658,42.0145630169157,16.5512920012269,NA,NA,NA,"MW","0",NA,NA,0,31,"Azerbaijan",2006,2006,2006.49589041096,2006.91232876712,"2006 DHS","DHS",0,"az52",0.12050257615692,0.0882091678201134,0.109894793771207,0.0109830522012372,0.0184844871618075,0.0124991723173271,1
"40-44",1814,NA,NA,NA,NA,51.8930539980739,38.1588133267988,13.734240671275,15.633173179424,NA,NA,NA,"MW","0",NA,NA,0,50,"Bangladesh",1993,1994,1993.83287671233,1994.24383561644,"1993-1994 DHS","DHS",0,"bd31",0.0861020942660298,0.112654616451415,0.127614692365111,0.0160790939398085,0.0105357284758949,0.0122127971719768,1
