"aggregate_type","agg_source_1","groupname_1","agg_source_2","groupname_2","criterion","codes","names","TotPop2024LessThan90k"
"sdg_regions","WPP 2024","[sdg_regions] Sub-Saharan Africa","Country classifications file","[sdg_regions] Sub SaharanAfrica","Not in WPP 2024",260,"French Southern Territories",TRUE
"sdg_regions","WPP 2024","[sdg_regions] Australia/New Zealand","Legacy special aggregates","[SDG_regions_level_2] Australia and New Zealand","Not in WPP 2024",162,"Christmas Island",TRUE
"sdg_regions","WPP 2024","[sdg_regions] Australia/New Zealand","Legacy special aggregates","[SDG_regions_level_2] Australia and New Zealand","Not in WPP 2024",166,"Cocos (Keeling) Islands",TRUE
"sdg_regions","WPP 2024","[sdg_regions] Australia/New Zealand","Legacy special aggregates","[SDG_regions_level_2] Australia and New Zealand","Not in WPP 2024",334,"Heard Island and McDonald Islands",TRUE
"sdg_regions","WPP 2024","[sdg_regions] Australia/New Zealand","Legacy special aggregates","[SDG_regions_level_2] Australia and New Zealand","Not in WPP 2024",574,"Norfolk Island",TRUE
"sdg_regions","WPP 2024","[sdg_regions] Eastern and South-Eastern Asia","Legacy special aggregates","[SDG_regions_level_1] Eastern Asia and South-eastern Asia","Not in Legacy special aggregates",158,"China, Taiwan Province of China",FALSE
"sdg_regions","WPP 2024","[sdg_regions] Europe and Northern America","Legacy special aggregates","[SDG_regions_level_1] Northern America and Europe","Not in Legacy special aggregates",412,"Kosovo (under UNSC res. 1244)",FALSE
"sdg_regions","WPP 2024","[sdg_regions] Europe and Northern America","Legacy special aggregates","[SDG_regions_level_1] Northern America and Europe","Not in WPP 2024",248,"Aland Islands",TRUE
"sdg_regions","WPP 2024","[sdg_regions] Europe and Northern America","Legacy special aggregates","[SDG_regions_level_1] Northern America and Europe","Not in WPP 2024",744,"Svalbard and Jan Mayen Islands",TRUE
"sdg_regions","WPP 2024","[sdg_regions] Europe and Northern America","Legacy special aggregates","[SDG_regions_level_1] Northern America and Europe","Not in WPP 2024",830,"Channel Islands",FALSE
"sdg_regions","WPP 2024","[sdg_regions] Latin America and the Caribbean","Legacy special aggregates","[SDG_regions_level_1] Latin America and the Caribbean","Not in WPP 2024",239,"South Georgia and the South Sandwich Islands",TRUE
"sdg_regions","WPP 2024","[sdg_regions] Oceania (excluding Australia and New Zealand)","Legacy special aggregates","[SDG_regions_level_2] Oceania excluding Australia and New Zealand","Not in WPP 2024",581,"United States Minor Outlying Islands",TRUE
"sdg_regions","WPP 2024","[sdg_regions] Oceania (excluding Australia and New Zealand)","Legacy special aggregates","[SDG_regions_level_2] Oceania excluding Australia and New Zealand","Not in WPP 2024",612,"Pitcairn",TRUE
"sdg_regions","WPP 2024","[sdg_regions] Sub-Saharan Africa","Legacy special aggregates","[SDG_regions_level_1] Sub-Saharan Africa","Not in WPP 2024",86,"British Indian Ocean Territory",TRUE
"sdg_regions","WPP 2024","[sdg_regions] Sub-Saharan Africa","Legacy special aggregates","[SDG_regions_level_1] Sub-Saharan Africa","Not in WPP 2024",260,"French Southern Territories",TRUE
"sdg_regions","WPP 2024","[sdg_regions] Sub-Saharan Africa","Legacy special aggregates","[SDG_regions_level_2] Sub-Saharan Africa","Not in WPP 2024",86,"British Indian Ocean Territory",TRUE
"sdg_regions","WPP 2024","[sdg_regions] Sub-Saharan Africa","Legacy special aggregates","[SDG_regions_level_2] Sub-Saharan Africa","Not in WPP 2024",260,"French Southern Territories",TRUE
"subregions","WPP 2024","[subregions] Australia/New Zealand","Country classifications file","[subregions] Australia and New Zealand","Not in WPP 2024",162,"Christmas Island",TRUE
"subregions","WPP 2024","[subregions] Australia/New Zealand","Country classifications file","[subregions] Australia and New Zealand","Not in WPP 2024",166,"Cocos (Keeling) Islands",TRUE
